Leak#,Latitude,Longitude,Base,COF,POF,Subway,Tree,GW,Soil,Total
101,37.56211611,127.1553317,0.004070137715896128,0.465,0.42,0.0,0.0,2.7,0.0,3.5890701377158964
102,37.5496685,127.1404934,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
103,37.54564321,127.1695709,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
104,37.55078079,127.1335577,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
105,37.56162516,127.1638871,0.425557483188341,0.39,1.0,0.0,0.0,2.7,0.0,4.515557483188341
106,37.55064476,127.17294,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
107,37.55299392,127.1535397,0.004070137715896128,0.723,1.0,0.0,0.0,2.7,0.0,4.427070137715896
108,37.53337815,127.123696,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
109,37.5388954,127.125046,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
110,37.54257358,127.1295198,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
111,37.56889081,127.1726317,0.07585818002124355,0.39,0.72,0.0,0.0,2.7,0.0,3.885858180021244
112,37.54773487,127.146175,0.13010847436299783,0.465,1.0,0.0,0.0,2.7,0.0,4.295108474362998
113,37.54343228,127.12785,0.0198403057340775,0.54,1.0,0.0,0.0,2.7,0.0,4.259840305734078
114,37.55556735,127.1571476,0.04742587317756678,0.39,0.56,0.0,0.0,2.7,0.0,3.697425873177567
115,37.55045315,127.1367488,0.3318122278318339,0.39,1.0,0.0,0.0,2.7,0.0,4.421812227831834
116,37.53862925,127.1509782,0.09112296101485612,0.465,1.0,0.0,0.0,2.7,0.0,4.2561229610148565
117,37.56251501,127.1743693,0.01098694263059318,0.465,0.72,0.0,0.0,2.7,0.0,3.8959869426305933
118,37.5423791,127.131197,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
119,37.56219219,127.156794,0.01098694263059318,0.465,0.72,0.0,0.0,2.7,0.0,3.8959869426305933
120,37.54211252,127.1221033,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
121,37.53392287,127.1271334,0.005486298899450404,0.465,0.42,0.0,0.0,2.7,0.0,3.5904862988994504
122,37.54413448,127.1423729,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
123,37.52718286,127.144768,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
124,37.54911738,127.1531722,0.06297335605699649,0.465,1.0,0.0,0.0,2.7,0.0,4.227973356056997
125,37.53208976,127.1374236,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
126,37.53008088,127.1326747,0.02931223075135632,0.723,1.0,0.0,0.0,2.7,0.0,4.452312230751357
127,37.56253951,127.1599502,0.425557483188341,0.39,1.0,0.0,0.0,2.7,0.0,4.515557483188341
128,37.54382348,127.1254197,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
129,37.55186404,127.1352112,0.35434369377420455,0.39,1.0,0.0,0.0,2.7,0.0,4.444343693774204
130,37.53967833,127.144899,0.02931223075135632,0.723,1.0,0.0,0.0,2.7,0.0,4.452312230751357
131,37.54200654,127.1197731,0.032295464698450495,0.54,1.0,0.0,0.0,2.7,0.0,4.27229546469845
132,37.52358552,127.1317039,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
133,37.55388752,127.1566259,0.09112296101485612,0.465,1.0,0.0,0.0,2.7,0.0,4.2561229610148565
134,37.56138184,127.1637634,0.425557483188341,0.39,1.0,0.0,0.0,2.7,0.0,4.515557483188341
135,37.5673228,127.1380899,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
136,37.56058642,127.1565267,0.013386917827664779,0.723,1.0,0.0,0.0,2.7,0.0,4.436386917827665
137,37.54651132,127.1374032,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
138,37.54804683,127.1730803,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
139,37.53161878,127.1326241,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
140,37.53929487,127.1306916,0.003684239899435986,0.465,0.24,0.0,0.0,2.7,0.0,3.4086842398994364
141,37.53460777,127.1295366,0.06913842034334682,0.465,1.0,0.0,0.0,2.7,0.0,4.234138420343347
142,37.57625452,127.1717249,0.998498817743263,0.54,1.0,0.0,0.0,2.7,0.0,5.238498817743263
143,37.55306307,127.1423839,0.8021838885585818,0.39,1.0,0.0,0.0,2.7,0.0,4.892183888558582
144,37.55493435,127.1554426,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
145,37.5456789,127.1225234,0.004966801650056957,0.465,0.42,0.0,0.0,2.7,0.0,3.589966801650057
146,37.54862653,127.1311771,0.16798161486607552,0.39,1.0,0.0,0.0,2.7,0.0,4.257981614866075
147,37.53021274,127.1252524,0.13010847436299783,0.465,1.0,0.0,0.0,2.7,0.0,4.295108474362998
148,37.54279694,127.1395592,0.18242552380635635,0.54,1.0,0.0,0.0,2.7,0.0,4.422425523806357
149,37.54913608,127.1367508,0.998498817743263,0.54,1.0,0.0,0.0,2.7,0.0,5.238498817743263
150,37.56225122,127.1736238,0.009951801866904317,0.465,0.56,0.0,0.0,2.7,0.0,3.7349518018669046
151,37.55577574,127.1599377,0.425557483188341,0.39,1.0,0.0,0.0,2.7,0.0,4.515557483188341
152,37.52755733,127.1250809,0.13010847436299783,0.465,1.0,0.0,0.0,2.7,0.0,4.295108474362998
153,37.5536081,127.1665038,0.02931223075135632,0.39,0.42,0.0,0.0,2.7,0.0,3.5393122307513565
154,37.53271468,127.1407919,0.02931223075135632,0.723,1.0,0.0,0.0,2.7,0.0,4.452312230751357
155,37.54820703,127.1730713,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
156,37.54546224,127.1232815,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
157,37.55846451,127.1436556,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
158,37.56390461,127.1738023,0.07585818002124355,0.39,0.72,0.0,0.0,2.7,0.0,3.885858180021244
159,37.55508592,127.1342408,0.10909682119561294,0.39,0.72,0.0,0.0,2.7,0.0,3.919096821195613
160,37.5398408,127.1229065,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
161,37.57635531,127.1670553,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
162,37.53395088,127.1447009,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
163,37.5351639,127.1340344,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
164,37.54851325,127.1558194,0.18242552380635635,0.39,1.0,0.0,0.0,2.7,0.0,4.272425523806357
165,37.53337698,127.1232843,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
166,37.53073478,127.143301,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
167,37.54913018,127.1295412,0.18242552380635635,0.54,1.0,0.0,0.0,2.7,0.0,4.422425523806357
168,37.56216414,127.1326362,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
169,37.53155506,127.1267033,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
170,37.52813537,127.1215011,0.00816257115315989,0.465,0.56,0.0,0.0,2.7,0.0,3.7331625711531604
171,37.54325789,127.137409,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
172,37.52960983,127.1360869,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
173,37.52589277,127.147128,0.00605980149158411,0.723,1.0,0.0,0.0,2.7,0.0,4.429059801491585
174,37.54209742,127.1366041,0.45016600268752216,0.39,1.0,0.0,0.0,2.7,0.0,4.540166002687522
175,37.5409187,127.121037,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
176,37.54434144,127.1394441,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
177,37.55004027,127.1560741,0.425557483188341,0.39,1.0,0.0,0.0,2.7,0.0,4.515557483188341
178,37.55341491,127.1361934,0.13010847436299783,0.39,1.0,0.0,0.0,2.7,0.0,4.220108474362998
179,37.54002742,127.1227804,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
180,37.52873682,127.1434816,0.0012293986212774202,0.723,0.56,0.0,0.0,2.7,0.0,3.984229398621278
181,37.52910113,127.1330804,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
182,37.53395867,127.124461,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
183,37.54242619,127.1258712,0.0198403057340775,0.723,1.0,0.0,0.0,2.7,0.0,4.4428403057340775
184,37.53443516,127.123971,0.09975048911968513,0.465,1.0,0.0,0.0,2.7,0.0,4.2647504891196855
185,37.53662956,127.122912,0.401312339887548,0.39,1.0,0.0,0.0,2.7,0.0,4.491312339887548
186,37.53397191,127.1493496,0.003684239899435986,0.465,0.24,0.0,0.0,2.7,0.0,3.4086842398994364
187,37.54158306,127.1201281,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
188,37.54942745,127.1297931,0.18242552380635635,0.54,1.0,0.0,0.0,2.7,0.0,4.422425523806357
189,37.54494914,127.1389203,0.026596993576865856,0.465,1.0,0.0,0.0,2.7,0.0,4.191596993576866
190,37.52867266,127.1370316,0.032295464698450495,0.39,0.42,0.0,0.0,2.7,0.0,3.5422954646984506
191,37.53746598,127.1278291,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
192,37.56585321,127.1664027,0.998498817743263,0.54,1.0,0.0,0.0,2.7,0.0,5.238498817743263
193,37.55250306,127.1336189,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
194,37.54737512,127.1417865,0.07585818002124355,0.39,0.72,0.0,0.0,2.7,0.0,3.885858180021244
195,37.5506815,127.1277298,0.004966801650056957,0.465,0.42,0.0,0.0,2.7,0.0,3.589966801650057
196,37.54546419,127.1257493,0.18242552380635635,0.54,1.0,0.0,0.0,2.7,0.0,4.422425523806357
197,37.54816052,127.1281503,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
198,37.5290017,127.1426668,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
199,37.54917328,127.1493728,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
200,37.53831999,127.142252,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
201,37.52813537,127.1215011,0.00816257115315989,0.465,0.56,0.0,0.0,2.7,0.0,3.7331625711531604
202,37.53011446,127.140157,0.005486298899450404,0.465,0.42,0.0,0.0,2.7,0.0,3.5904862988994504
203,37.54625438,127.168759,0.026596993576865856,0.39,0.24,0.0,0.0,2.7,0.0,3.356596993576866
204,37.56192277,127.1729482,0.001358519950428958,0.723,0.56,0.0,0.0,2.7,0.0,3.9843585199504292
205,37.55445012,127.1280079,0.01630249937144093,0.465,0.72,0.0,0.0,2.7,0.0,3.9013024993714414
206,37.55446362,127.1292292,0.35434369377420455,0.39,1.0,0.0,0.0,2.7,0.0,4.444343693774204
207,37.54025573,127.1407796,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
208,37.55816617,127.154012,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
209,37.52766768,127.1256803,0.007391541344281971,0.465,0.56,0.0,0.0,2.7,0.0,3.732391541344282
210,37.57647626,127.1672171,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
211,37.55014545,127.1304141,0.02931223075135632,0.723,1.0,0.0,0.0,2.7,0.0,4.452312230751357
212,37.54197307,127.1225063,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
213,37.55131506,127.1250335,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
214,37.55484921,127.1519213,0.09112296101485612,0.465,1.0,0.0,0.0,2.7,0.0,4.2561229610148565
215,37.55382737,127.1290143,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
216,37.53198373,127.1221749,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
217,37.53040569,127.1402185,0.004966801650056957,0.465,0.42,0.0,0.0,2.7,0.0,3.589966801650057
218,37.52843875,127.133391,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
219,37.54062535,127.1472535,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
220,37.54622759,127.1711972,0.005486298899450404,0.723,1.0,0.0,0.0,2.7,0.0,4.4284862988994504
221,37.55442458,127.1533506,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
222,37.55084897,127.1343346,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
223,37.550235,127.1314565,0.013386917827664779,0.465,0.72,0.0,0.0,2.7,0.0,3.898386917827665
224,37.54477825,127.1396565,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
225,37.53472605,127.1274604,0.005486298899450404,0.465,0.42,0.0,0.0,2.7,0.0,3.5904862988994504
226,37.55405737,127.1325528,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
227,37.53194363,127.1439151,0.032295464698450495,0.54,1.0,0.0,0.0,2.7,0.0,4.27229546469845
228,37.55163545,127.1559652,0.09112296101485612,0.465,1.0,0.0,0.0,2.7,0.0,4.2561229610148565
229,37.54308125,127.1317254,0.9890130573694068,0.723,1.0,0.0,0.0,2.7,0.0,5.412013057369407
230,37.53252089,127.1371157,0.004496273160941178,0.723,1.0,0.0,0.0,2.7,0.0,4.4274962731609415
231,37.5504986,127.1705692,0.09112296101485612,0.465,1.0,0.0,0.0,2.7,0.0,4.2561229610148565
232,37.53706941,127.1307715,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
233,37.54545823,127.1259734,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
234,37.55809481,127.1691685,0.23147521650098232,0.39,1.0,0.0,0.0,2.7,0.0,4.321475216500982
235,37.536898,127.1381903,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
236,37.53043693,127.1398616,6.750827306328375E-4,0.723,0.42,0.0,0.0,2.7,0.0,3.843675082730633
237,37.53385465,127.1383193,0.02931223075135632,0.723,1.0,0.0,0.0,2.7,0.0,4.452312230751357
238,37.55017787,127.1526969,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
239,37.53205279,127.1326447,0.18242552380635635,0.54,1.0,0.0,0.0,2.7,0.0,4.422425523806357
240,37.54209742,127.1366041,0.45016600268752216,0.39,1.0,0.0,0.0,2.7,0.0,4.540166002687522
241,37.56229688,127.163396,0.425557483188341,0.39,1.0,0.0,0.0,2.7,0.0,4.515557483188341
242,37.53743589,127.1509666,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
243,37.54325789,127.137409,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
244,37.54546224,127.1232815,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
245,37.54039519,127.1207656,0.9890130573694068,0.723,1.0,0.0,0.0,2.7,0.0,5.412013057369407
246,37.54673843,127.1237405,0.0198403057340775,0.54,1.0,0.0,0.0,2.7,0.0,4.259840305734078
247,37.52714101,127.1344872,0.02931223075135632,0.723,1.0,0.0,0.0,2.7,0.0,4.452312230751357
248,37.54780307,127.1525293,0.425557483188341,0.39,1.0,0.0,0.0,2.7,0.0,4.515557483188341
249,37.53461391,127.1289315,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
250,37.53438625,127.1254994,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
251,37.52924378,127.124395,0.998498817743263,0.54,1.0,0.0,0.0,2.7,0.0,5.238498817743263
