시추공코드 ,순번 ,시작심도 ,종료심도 ,전단파속도(P파) ,전단파속도(S파) ,포아송비 ,전단판성계수 ,영률 ,현장밀도 
B3887BH001,28,26,27,1590,770,0.347,13900,40700,2.3
B3887BH001,29,15,16,1124,495,0.38,5000,19100,2
B3887BH001,27,14,15,1085,474,0.382,4100,16000,1.8
B3887BH001,26,27,28,1643,793,0.348,14800,43800,2.3
B3887BH001,25,13,14,1068,465,0.383,4000,15800,1.8
B3887BH001,24,28,29,1666,810,0.345,15400,44600,2.3
B3887BH001,23,10,11,984,418,0.39,3200,13500,1.8
B3887BH001,22,9,10,930,390,0.393,2800,12200,1.8
B3887BH001,21,8,9,890,372,0.394,2500,11000,1.8
B3887BH001,20,7,8,860,357,0.396,2300,10200,1.8
B3887BH001,19,6,7,823,340,0.397,2100,9600,1.8
B3887BH001,18,5,6,805,329,0.4,2000,9300,1.8
B3887BH001,17,4,5,782,318,0.401,1900,8900,1.8
B3887BH001,30,25,26,1567,754,0.349,13300,39700,2.3
B3887BH001,31,16,17,1197,529,0.379,5700,21600,2
B3887BH001,32,24,25,1523,737,0.347,12700,37300,2.3
B3887BH001,33,23,24,1492,713,0.352,11900,36300,2.3
B3887BH001,34,17,18,1235,546,0.379,6100,23100,2
B3887BH001,35,22,23,1439,681,0.356,10900,34200,2.3
B3887BH001,36,21,22,1420,669,0.357,10500,33300,2.3
B3887BH001,37,18,19,1279,570,0.379,6600,24500,2
B3887BH001,38,20,21,1378,623,0.372,7900,28200,2
B3887BH001,39,19,20,1310,588,0.374,7100,25800,2
B3887BH001,40,29,30,1693,825,0.344,16000,46000,2.3
B3887BH001,11,0,1,668,237,0.433,1000,7200,1.7
B3887BH001,12,1,2,691,258,0.419,1200,7000,1.8
B3887BH001,13,12,13,1049,453,0.385,3800,15300,1.8
B3887BH001,14,2,3,712,277,0.411,1400,7500,1.8
B3887BH001,15,11,12,1025,437,0.389,3500,14600,1.8
B3887BH001,16,3,4,734,294,0.404,1600,7800,1.8
B3913BH001,5,17,24.5,1174,585,0.335,7380,19700,2.1
B3913BH001,4,6.8,17,923,433,0.359,3640,9900,1.9
B3913BH001,3,3.5,6.8,626,272,0.384,1390,3850,1.8
B3913BH001,2,1.5,3.5,468,196,0.393,709,1980,1.8
B3913BH001,1,0,1.5,450,187,0.396,640,1790,1.8
B3913BH002,6,7,21,2750,1479,0.297,55900,145000,2.5
B3913BH002,4,3.6,5,868,401,0.364,3120,8520,1.9
B3913BH002,3,1.9,3.6,789,357,0.372,2340,6420,1.8
B3913BH002,2,0.7,1.9,575,248,0.386,1130,3130,1.8
B3913BH002,1,0,0.7,462,192,0.395,680,1900,1.8
B3913BH001,6,24.5,30.5,1455,744,0.323,13100,34600,2.3
B3913BH002,5,5,7,1619,835,0.32,16900,44500,2.3
B3916BH013,2,4,11,800,251,0.445,1130,2950,1.8
B3916BH013,3,11,19,1250,343,0.459,2230,5810,2
B3916BH013,4,19,21,1400,406,0.454,3050,7930,1.9
B3916BH013,5,21,23,2200,593,0.424,6670,17400,2.1
B3916BH013,6,23,29,2600,1120,0.386,29400,81400,2.4
B3916BH013,1,0,4,500,192,0.405,661,1730,1.8
B3925BH010,1,0,5.1,215,486,0.38,80500,222000,1.7
B3925BH010,3,45,46,599,1212,0.34,769000,2060000,2.1
B3925BH010,2,5.1,45,289,648,0.38,172000,471000,1.9
B3936BH002,1,0,0.7,492,201,0.4,701,1960,1.7
B3936BH002,3,8.2,9,1065,512,0.35,5080,1370,1.9
B3936BH002,4,9,30,1322,646,0.34,8970,2410,2.1
B3936BH002,2,0.7,8.2,611,252,0.4,1160,3250,1.8
B3979CB001,1,1,2,2,2,2,2,2,2
B3981CB001,1,1,2,3,3,3,3,3,3
B3984BH002,3,16.2,35,1201,592,0.34,757,2029,21
B3984BH002,1,0,7.5,526,223,0.391,91.8,255.4,18
B3984BH002,2,7.5,16.2,842,392,0.362,303,825.4,19
B3992BH004,6,23.2,33,2397,991,0.397,6186,2214,10004
B3992BH004,7,33,33,3412,1518,0.377,15113,5490,20406
B3992BH004,2,1.8,5.4,386,148,0.415,113,40,221
B3992BH004,1,0,1.8,521,170,0.441,144,50,405
B3992BH001,5,18.5,30.5,3378,1529,0.371,15481,5645,20028
B3992BH004,3,5.4,23.2,900,357,0.407,709,252,1267
B3992BH001,3,9.7,17.5,1867,762,0.4,3322,1187,5536
B3992BH001,2,5.3,9.7,1364,538,0.408,1573,559,2852
B3992BH001,1,0,5.3,527,203,0.413,203,72,387
B3992BH001,4,17.5,18.5,2874,1213,0.392,9374,3368,14417
B3999CB001,1,1,2,2,2,2,2,2,2
B4144BH005,1,1,4,392,162,,49000,135000,
B4144BH005,2,4,21,601,302,,186000,492000,
B4144BH005,3,21,30,1054,565,,643000,1669000,
B4151CB001,2,3,6,2,2,2,2,2,2
B4151CB001,1,0,3,1,1,1,1,1,1
B4209TB002,2,6.5,9.5,2339,1304,0.27,4340000,11100000,2.5
B4209TB004,3,3,6,2174,1189,0.29,3610000,9280000,2.5
B4209TB004,2,0.4,3,1399,719,0.32,1270000,3340000,2.4
B4209TB004,1,0,0.4,396,154,0.41,434000,123000,1.8
B4209TB002,5,0.4,3.5,388,158,0.4,48200,135000,1.9
B4209TB002,1,0,0.4,274,107,0.41,21000,59200,1.8
B4209TB004,4,6,21,3352,1945,0.25,10000000,25000000,2.6
B4209TB002,3,9.5,32,3293,1903,0.25,9600000,24000000,2.6
B4209TB002,4,3.5,6.5,1497,782,0.31,1500000,3930000,2.4
B4283BH002,5,14.5,30,1135,561,0.33,1830,1880,21
B4283BH002,4,10.8,14.5,733,332,0.372,562,722,18
B4283BH002,3,7.6,10.8,551,236,0.387,286,422,18
B4283BH002,2,5.5,7.6,516,219,0.391,244,373,18
B4283BH002,1,0,5.5,514,218,0.39,243,369,18
B4384BH003,1,0,2.5,554,240,0.38,292,422,18
B4384BH003,5,13.5,30,1808,939,0.31,5760,5180,24
B4384BH003,4,11.5,13.5,973,474,0.34,1310,1400,21
B4384BH003,3,9.3,11.5,749,344,0.36,628,783,18
B4384BH003,2,2.5,9.3,654,294,0.37,437,575,18
B4390BH001,37,17,18,948,437,0.365,400,,
B4390BH001,38,16,17,826,393,0.354,324,,
B4390BH001,39,15,16,812,379,0.361,302,,
B4390BH001,40,14,15,766,350,0.368,232,,
B4390BH001,41,13,14,661,300,0.371,171,,
B4390BH001,1,30,31,1321,641,0.346,862,,
B4390BH001,2,1,2,579,225,0.411,91,,
B4390BH001,3,2,3,528,222,0.392,89,,
B4390BH001,4,0,1,501,213,0.39,81.5,,
B4390BH001,5,3,4,572,245,0.388,108,,
B4390BH001,31,23,24,1172,574,0.342,692,,
B4390BH001,8,6,7,564,223,0.408,89.4,,
B4390BH001,9,7,8,530,205,0.412,75.6,,
B4390BH001,10,8,9,589,221,0.418,87.8,,
B4390BH001,11,9,10,506,198,0.409,70.8,,
B4390BH001,12,10,11,512,214,0.394,82.4,,
B4390BH001,13,29,30,1429,673,0.357,952,,
B4390BH001,14,5,6,511,212,0.397,80.5,,
B4390BH001,18,36,37,1767,928,0.31,2070,,
B4390BH001,19,35,36,1471,753,0.322,1190,,
B4390BH001,20,34,35,1422,722,0.326,1090,,
B4390BH001,21,33,34,1374,679,0.338,969,,
B4390BH001,22,32,33,1391,705,0.327,1040,,
B4390BH001,23,31,32,1393,683,0.342,978,,
B4390BH001,24,11,12,556,238,0.387,102,,
B4390BH001,25,12,13,579,256,0.379,118,,
B4390BH001,26,28,29,1389,663,0.352,923,,
B4390BH001,27,27,28,1299,634,0.344,843,,
B4390BH001,28,26,27,1300,595,0.368,743,,
B4390BH001,29,25,26,1149,533,0.363,597,,
B4390BH001,30,24,25,1155,549,0.354,632,,
B4390BH001,36,18,19,869,408,0.358,350,,
B4390BH001,35,19,20,976,484,0.348,492,,
B4390BH001,34,20,21,969,452,0.361,429,,
B4390BH001,33,21,22,951,439,0.364,405,,
B4390BH001,32,22,23,976,466,0.352,456,,
B4390BH001,6,4,5,522,227,0.384,92.4,,
B4403BH003,3,10,16,505,1053,0.35,4940,13400,
B4403BH003,4,16,26,939,2054,0.37,18000,49200,
B4403BH003,2,3,10,217,519,0.39,867,2420,
B4403BH003,1,0,3,186,464,0.4,637,1790,
B4403BH003,5,26,30,1338,3465,0.41,43800,124000,
B4483TB013,20,19,20,2555,1387,0.291,12672,4908,25
B4483TB013,21,20,21,2591,1411,0.289,13095,5079,25
B4483TB013,22,21,22,2630,1437,0.287,13561,5268,25
B4483TB013,23,22,23,2683,1470,0.286,14173,5513,25
B4483TB013,24,23,24,2724,1488,0.287,14543,5648,25
B4483TB013,25,24,25,2762,1511,0.286,14985,5824,25
B4483TB018,2,1,2,772,338,0.381,612,221,19
B4483TB018,3,2,3,788,351,0.376,657,239,19
B4483TB018,4,3,4,1072,513,0.351,1452,537,20
B4483TB018,5,4,5,1104,532,0.349,1558,578,20
B4483TB018,6,5,6,1125,547,0.345,1643,611,20
B4483TB018,7,6,7,1151,563,0.343,1737,647,20
B4483TB018,8,7,8,1178,579,0.341,1835,684,20
B4483TB018,9,8,9,1188,586,0.339,1877,701,20
B4483TB018,10,9,10,1207,598,0.337,1952,730,20
B4483TB018,11,10,11,1223,610,0.334,2027,759,20
B4483TB018,12,11,12,1625,848,0.313,4431,1688,23
B4483TB018,13,12,13,1668,879,0.308,4743,1813,23
B4483TB018,14,13,14,1691,894,0.306,4900,1876,23
B4483TB018,15,14,15,1725,916,0.304,5134,1969,23
B4483TB018,16,15,16,2251,1207,0.298,9650,3716,25
B4483TB018,17,16,17,2274,1224,0.296,9907,3822,25
B4483TB018,18,17,18,2302,1241,0.295,10177,3929,25
B4483TB018,19,18,19,2347,1266,0.295,10588,4089,25
B4483TB018,33,32,33,2891,1592,0.282,16583,6465,25
B4483TB001,1,0,1,489,212,0.384,241,87,19
B4483TB001,2,1,2,1632,857,0.31,4515,1724,23
B4483TB001,3,2,3,1854,986,0.303,5945,2282,23
B4483TB001,4,3,4,2312,1245,0.296,10248,3954,25
B4483TB001,5,4,5,2392,1290,0.295,10994,4245,25
B4483TB001,6,5,6,2451,1321,0.295,11532,4452,25
B4483TB001,7,6,7,2524,1360,0.295,12225,4718,25
B4483TB001,8,7,8,2589,1398,0.294,12905,4986,25
B4483TB001,9,8,9,2635,1448,0.284,13732,5349,25
B4483TB001,10,9,10,2698,1483,0.284,14402,5610,25
B4483TB001,11,10,11,2724,1497,0.284,14677,5717,25
B4483TB001,12,11,12,2765,1521,0.283,15144,5902,25
B4483TB001,13,12,13,2785,1532,0.283,15364,5987,25
B4483TB001,14,13,14,2804,1543,0.283,15583,6074,25
B4483TB001,15,14,15,2829,1556,0.283,15850,6176,25
B4483TB007,1,0,1,582,260,0.375,361,131,19
B4483TB007,2,1,2,595,267,0.374,380,138,19
B4483TB007,3,2,3,610,278,0.369,410,150,19
B4483TB007,4,3,4,625,288,0.365,439,161,19
B4483TB007,5,4,5,634,296,0.361,462,170,19
B4483TB013,26,25,26,2778,1522,0.286,15194,5909,25
B4483TB018,20,19,20,2375,1284,0.294,10880,4206,25
B4483TB018,21,20,21,2423,1312,0.293,11352,4391,25
B4483TB018,22,21,22,2462,1335,0.292,11746,4546,25
B4483TB018,23,22,23,2499,1357,0.291,12128,4698,25
B4483TB018,24,23,24,2538,1380,0.29,12535,4858,25
B4483TB018,25,24,25,2578,1404,0.289,12965,5029,25
B4483TB018,26,25,26,2618,1429,0.288,13417,5209,25
B4483TB018,27,26,27,2665,1457,0.287,13938,5415,25
B4483TB018,28,27,28,2711,1482,0.287,14421,5603,25
B4483TB018,29,28,29,2739,1502,0.285,14790,5755,25
B4483TB018,30,29,30,2776,1524,0.284,15219,5925,25
B4483TB018,31,30,31,2815,1549,0.283,15704,6121,25
B4483TB018,32,31,32,2844,1567,0.282,16061,6264,25
B4483TB007,6,5,6,648,306,0.357,493,182,19
B4483TB007,7,6,7,661,311,0.358,509,188,19
B4483TB007,8,7,8,673,318,0.356,532,196,19
B4483TB007,9,8,9,689,327,0.355,562,207,19
B4483TB007,10,9,10,1015,492,0.346,1330,494,20
B4483TB007,11,10,11,1098,538,0.342,1585,591,20
B4483TB007,12,11,12,1184,586,0.338,1875,701,20
B4483TB007,13,12,13,1315,655,0.335,2338,876,20
B4483TB007,14,13,14,1613,843,0.312,4377,1668,23
B4483TB007,15,14,15,1874,983,0.31,5943,2268,23
B4483TB007,16,15,16,1989,1045,0.309,6712,2563,23
B4483TB007,17,16,17,2124,1125,0.305,7753,2970,23
B4483TB007,18,17,18,2329,1252,0.297,10371,3999,25
B4483TB007,19,18,19,2364,1284,0.296,10899,4206,25
B4483TB007,20,19,20,2432,1308,0.297,11317,4364,25
B4483TB007,21,20,21,2487,1339,0.296,11854,4574,25
B4483TB007,22,21,22,2524,1359,0.296,12211,4711,25
B4483TB007,23,22,23,2560,1378,0.296,12556,4844,25
B4483TB007,24,23,24,2596,1401,0.295,12964,5007,25
B4483TB007,25,24,25,2635,1422,0.295,13356,5158,25
B4483TB007,26,25,26,2688,1448,0.296,13860,5349,25
B4483TB007,27,26,27,2729,1472,0.295,14314,5528,25
B4483TB007,28,27,28,2767,1495,0.294,14754,5702,25
B4483TB007,29,28,29,2783,1503,0.294,14915,5763,25
B4483TB007,30,29,30,2799,1511,0.294,15077,5824,25
B4483TB007,31,30,31,2814,1527,0.291,15362,5948,25
B4483TB007,32,31,32,2832,1541,0.29,15625,6058,25
B4483TB007,33,32,33,2848,1553,0.288,15854,6153,25
B4483TB007,34,33,34,2861,1563,0.287,16045,6232,25
B4483TB007,35,34,35,2884,1578,0.286,16342,6352,25
B4483TB018,1,0,1,728,315,0.385,533,192,19
B4483TB013,1,0,1,482,207,0.387,230,83,19
B4483TB013,2,1,2,601,263,0.382,371,134,19
B4483TB013,3,2,3,621,274,0.379,401,146,19
B4483TB013,4,3,4,648,291,0.374,451,164,19
B4483TB013,5,4,5,681,311,0.368,513,188,19
B4483TB013,6,5,6,694,320,0.365,542,199,19
B4483TB013,7,6,7,1014,488,0.349,1312,486,20
B4483TB013,8,7,8,1074,520,0.347,1487,552,20
B4483TB013,9,8,9,1148,561,0.343,1725,642,20
B4483TB013,10,9,10,1217,596,0.342,1946,725,20
B4483TB013,11,10,11,1264,619,0.342,2099,782,20
B4483TB013,12,11,12,1305,646,0.338,2279,852,20
B4483TB013,13,12,13,1624,853,0.31,4472,1708,23
B4483TB013,14,13,14,1781,939,0.308,5411,2069,23
B4483TB013,15,14,15,2324,1252,0.296,10361,3999,25
B4483TB013,16,15,16,2379,1282,0.295,10862,4193,25
B4483TB013,17,16,17,2427,1310,0.294,11334,4378,25
B4483TB013,18,17,18,2482,1339,0.295,11844,4574,25
B4483TB013,19,18,19,2519,1360,0.294,12214,4718,25
B4647BH032,2,3.5,14.5,283,83,0.453,12000000,34000000,1.7
B4647BH032,1,0,3.5,347,122,0.43,27000000,76000000,1.8
B4647BH032,4,25,30,917,483,0.308,491000000,1285000000,2.1
B4647BH032,3,14.5,25,665,321,0.351,205000000,550000000,1.98
B4653BH002,5,12.6,20.2,2968,1530,0.319,61284.9,161115.2,2.5
B4653BH002,6,20.2,40,4315,2314,0.299,151937.7,393610.4,2.7
B4653BH003,1,0,1.2,528,227,0.386,967.7,2681.9,1.8
B4653BH003,2,1.2,8.7,886,398,0.374,3171.3,8708.4,1.9
B4653BH003,3,8.7,16.2,1763,832,0.357,15193.8,41298.5,2.1
B4653BH003,4,16.2,16.7,2037,1002,0.34,24065.3,64446.1,2.3
B4653BH003,5,16.7,40,2928,1494,0.325,59041.6,156016.6,2.5
B4653BH002,3,7.4,10.7,1505,712,0.356,11216.9,30489.5,2.1
B4653BH002,2,0.5,7.4,708,347,0.378,2569.7,7076.8,1.9
B4653BH002,1,0,0.5,484,208,0.386,812.7,2253.6,1.8
B4653BH002,4,10.7,12.6,2121,1051,0.337,26410.6,70666.3,2.3
B4668TB006,23,22,23,2836,1499,0.306,573000,1500000,2.5
B4668TB006,24,23,24,2768,1474,0.302,554000,1440000,2.5
B4668TB006,25,24,25,2889,1547,0.299,611000,1590000,2.5
B4668TB006,26,25,26,3158,1694,0.298,732000,1900000,2.5
B4668TB006,27,26,27,3352,1789,0.307,816000,2120000,2.5
B4668TB006,28,27,28,3045,1619,0.303,669000,1740000,2.5
B4668TB006,16,15,16,2685,1409,0.31,506000,1330000,2.5
B4668TB006,17,16,17,2554,1338,0.311,457000,1200000,2.5
B4668TB003,4,3,4,2602,1363,0.311,474000,1240000,2.5
B4668TB003,5,4,5,2668,1400,0.31,500000,1310000,2.5
B4668TB003,6,5,6,2954,1556,0.308,618000,1620000,2.5
B4668TB003,7,6,7,3229,1710,0.305,746000,1950000,2.5
B4668TB003,8,7,8,3578,1909,0.301,930000,2420000,2.5
B4668TB003,9,8,9,3652,1959,0.298,979000,2540000,2.5
B4668TB003,10,9,10,3728,2007,0.296,1030000,2660000,2.5
B4668TB003,11,10,11,3646,1952,0.299,9720000,2530000,2.5
B4668TB003,12,11,12,2492,1866,0.3,888000,2310000,2.5
B4668TB003,13,12,13,3223,1707,0.305,743000,1940000,2.5
B4668TB003,14,13,14,3295,1748,0.304,779000,2030000,2.5
B4668TB003,15,14,15,3385,1803,0.302,829000,2160000,2.5
B4668TB003,16,15,16,3184,1702,0.3,739000,1920000,2.5
B4668TB003,17,16,17,3536,1886,0.301,907000,2360000,2.5
B4668TB003,18,17,18,3516,1876,0.301,898000,2340000,2.5
B4668TB003,19,18,19,3592,1920,0.3,940000,2450000,2.5
B4668TB003,20,19,20,3605,1934,0.298,954000,2480000,2.5
B4668TB003,21,20,21,3559,1899,0.301,920000,2390000,2.5
B4668TB003,22,21,22,3472,1849,0.302,872000,2270000,2.5
B4668TB003,23,22,23,3389,1802,0.303,828000,2160000,2.5
B4668TB003,24,23,24,3435,1829,0.302,853000,2220000,2.5
B4668TB003,25,24,25,3598,1923,0.3,943000,2450000,2.5
B4668TB003,26,25,26,3675,1917,0.298,991000,2570000,2.5
B4668TB003,27,26,27,3788,2043,0.295,1060000,2760000,2.5
B4668TB005,1,0,0.8,722,315,0.382,19200,53200,1.9
B4668TB005,2,0.8,2,1326,671,0.328,106000,281000,2.3
B4668TB005,3,2,3,1488,756,0.326,134000,356000,2.3
B4668TB005,4,3,4,1575,804,0.324,152000,402000,2.3
B4668TB005,5,4,5,1678,858,0.323,173000,457000,2.3
B4668TB005,6,5,6,1652,843,0.324,167000,442000,2.3
B4668TB005,7,6,7,1683,861,0.323,174000,460000,2.3
B4668TB005,8,7,8,1711,877,0.322,181000,477000,2.3
B4668TB005,9,8,9,1736,891,0.321,186000,492000,2.3
B4668TB005,10,9,10,1725,884,0.322,183000,485000,2.3
B4668TB005,11,10,11,1786,919,0.32,198000,523000,2.3
B4668TB005,12,11,12,1738,891,0.322,186000,493000,2.3
B4668TB005,13,12,13,1722,880,0.323,182000,481000,2.3
B4668TB005,14,13,14,1696,865,0.324,176000,465000,2.3
B4668TB005,15,14,15,1684,856,0.326,172000,456000,2.3
B4668TB005,16,15,16,1836,945,0.32,210000,553000,2.3
B4668TB005,17,16,17,2152,1116,0.316,292000,769000,2.3
B4668TB005,18,17,18,2014,1042,0.317,255000,671000,2.3
B4668TB005,19,18,19,1921,986,0.321,228000,603000,2.3
B4668TB005,20,19,20,1822,934,0.322,205000,541000,2.3
B4668TB005,21,20,21,1810,925,0.323,201000,531000,2.3
B4668TB005,22,21,22,1836,941,0.322,208000,549000,2.3
B4668TB005,23,22,23,2159,1113,0.319,291000,767000,2.3
B4668TB005,24,23,24,2424,1260,0.315,373000,980000,2.3
B4668TB005,25,24,25,2587,1347,0.314,426000,1120000,2.3
B4668TB005,26,25,26,2281,1171,0.321,322000,850000,2.3
B4668TB008,17,16,17,2158,1115,0.318,292000,769000,2.3
B4668TB008,18,17,18,2678,1389,0.316,453000,1190000,2.3
B4668TB008,19,18,19,3284,1746,0.303,778000,2030000,2.5
B4668TB008,20,19,20,3562,1911,0.298,932000,2420000,2.5
B4668TB008,21,20,21,3423,1833,0.299,857000,2230000,2.5
B4668TB008,22,21,22,3352,1792,0.3,819000,2130000,2.5
B4668TB008,23,22,23,3465,1859,0.298,882000,2290000,2.5
B4668TB008,24,23,24,3342,1786,0.3,814000,2120000,2.5
B4668TB008,25,24,25,3052,1611,0.307,662000,1730000,2.5
B4668TB008,26,25,26,2865,1501,0.311,575000,1510000,2.5
B4668TB008,27,26,27,2921,1536,0.309,602000,1580000,2.5
B4668TB008,28,27,28,2932,1541,0.309,606000,1590000,2.5
B4668TB008,29,28,29,3021,1597,0.306,651000,1700000,2.5
B4668TB008,30,29,30,3121,1653,0.305,697000,1820000,2.5
B4668TB008,31,30,31,3032,1597,0.308,651000,1700000,2.5
B4668TB009,1,0,1,1156,572,0.338,70100,188000,2.1
B4668TB009,2,1,2,1238,615,0.336,81000,217000,2.1
B4668TB009,3,2,3,1285,644,0.332,88900,237000,2.1
B4668TB009,4,3,3.6,1321,664,0.331,94500,251000,2.1
B4668TB009,5,3.6,5,1367,689,0.33,111000,296000,2.3
B4668TB009,6,5,6,1382,696,0.33,114000,302000,2.3
B4668TB009,7,6,7,1332,669,0.331,105000,280000,2.3
B4668TB009,8,7,8,1310,658,0.331,102000,271000,2.3
B4668TB005,27,26,27,2184,1123,0.32,296000,782000,2.3
B4668TB005,28,27,28,2114,1088,0.32,278000,733000,2.3
B4668TB005,29,28,29,2054,1052,0.322,260000,687000,2.3
B4668TB005,30,29,30,2070,1059,0.323,263000,696000,2.3
B4668TB005,31,30,31.3,2238,1158,0.317,315000,829000,2.3
B4668TB005,32,31.3,32,2506,1312,0.311,439000,1150000,2.5
B4668TB005,33,32,33,3056,1616,0.306,666000,1740000,2.5
B4668TB005,34,33,34,3524,1883,0.3,905000,2350000,2.5
B4668TB005,35,34,35,3756,2025,0.295,1050000,2710000,2.5
B4668TB005,36,35,36,3884,2091,0.296,1120000,2890000,2.5
B4668TB005,37,36,37,3725,1995,0.299,1020000,2640000,2.5
B4668TB005,38,37,38,3656,1961,0.298,981000,2550000,2.5
B4668TB005,39,38,39,3725,1991,0.3,1010000,2630000,2.5
B4668TB005,40,39,40,3679,1959,0.302,979000,2550000,2.5
B4668TB005,41,40,41,3560,1893,0.303,914000,2380000,2.5
B4668TB005,42,41,42,3618,1927,0.302,947000,2470000,2.5
B4668TB005,43,42,43,3588,1925,0.298,945000,2450000,2.5
B4668TB005,44,43,44,3612,1927,0.301,947000,2460000,2.5
B4668TB005,45,44,45,3630,1933,0.302,953000,2480000,2.5
B4668TB006,1,0,1,726,320,0.379,19900,54800,1.9
B4668TB006,2,1,1.8,832,377,0.371,27600,75500,1.9
B4668TB006,3,1.8,3,1536,780,0.326,143000,379000,2.3
B4668TB006,4,3,4,1722,884,0.321,183000,485000,2.3
B4668TB006,5,4,5,1692,856,0.328,172000,457000,2.3
B4668TB006,6,5,6,1786,911,0.324,195000,516000,2.3
B4668TB006,7,6,7,1854,950,0.322,212000,560000,2.3
B4668TB006,8,7,8,1882,966,0.321,219000,579000,2.3
B4668TB006,9,8,9.5,1962,1009,0.32,239000,631000,2.3
B4668TB006,10,9.5,10,2132,1101,0.318,309000,815000,2.5
B4668TB006,11,10,11,2586,1362,0.308,473000,1240000,2.5
B4668TB006,12,11,12,2886,1537,0.302,603000,1570000,2.5
B4668TB006,13,12,13,2785,1475,0.305,555000,1450000,2.5
B4668TB006,14,13,14,2778,1469,0.306,551000,1440000,2.5
B4668TB006,15,14,15,2862,1516,0.305,586000,1590000,2.5
B4668TB006,18,17,18,2832,1495,0.307,570000,1490000,2.5
B4668TB009,17,16,17,1725,873,0.328,179000,475000,2.3
B4668TB009,18,17,18,1736,882,0.326,183000,484000,2.3
B4668TB006,19,18,19,2957,1566,0.305,606000,1630000,2.5
B4668TB006,20,19,20,3102,1643,0.305,689000,1800000,2.5
B4668TB006,21,20,21,3052,1620,0.304,669000,1750000,2.5
B4668TB006,22,21,22,2912,1540,0.306,605000,1580000,2.5
B4668TB009,20,19,20,1756,894,0.325,188000,497000,2.3
B4668TB009,21,20,21,1715,871,0.326,178000,472000,2.3
B4668TB009,22,21,22,1889,968,0.322,220000,581000,2.3
B4668TB009,23,22,23,1968,1013,0.32,241000,636000,2.3
B4668TB009,24,23,24,2045,1054,0.319,267000,488000,2.3
B4668TB009,25,24,25,2022,1038,0.321,253000,668000,2.3
B4668TB009,26,25,26,1865,950,0.325,212000,561000,2.3
B4668TB009,27,26,27,1882,956,0.326,214000,569000,2.3
B4668TB009,28,27,28,1769,897,0.327,189000,501000,2.3
B4668TB009,29,28,29,1984,1017,0.322,243000,642000,2.3
B4668TB009,30,29,30,1845,937,0.326,206000,547000,2.3
B4668TB009,31,30,31,2032,1043,0.321,255000,675000,2.3
B4668TB009,32,31,32,2256,1163,0.319,317000,837000,2.3
B4668TB009,33,32,33,2624,1358,0.317,433000,1140000,2.3
B4668TB009,34,30,31,3032,1597,0.308,651000,1700000,2.5
B4668TB012,1,0,1,638,268,0.393,13900,38800,1.9
B4668TB012,2,1,2,689,295,0.388,69500,46800,1.9
B4668TB012,3,2,3,836,376,0.373,99000,75300,1.9
B4668TB012,4,3,3.7,932,436,0.36,119000,100000,1.9
B4668TB012,5,3.7,5,1332,666,0.333,278000,278000,2.3
B4668TB012,6,5,6,1422,715,0.331,315000,319000,2.3
B4668TB012,7,6,7,1568,792,0.329,381000,391000,2.3
B4668TB012,8,7,8,1522,767,0.33,360000,367000,2.3
B4668TB013,1,0,0.6,656,286,0.383,15900,43900,1.9
B4668TB013,2,0.6,1.4,1086,516,0.354,57100,455000,2.1
B4668TB013,3,1.4,3,1322,659,0.335,102000,272000,2.3
B4668TB013,4,3,4,1786,919,0.32,198000,523000,2.3
B4668TB013,5,4,5,1622,821,0.328,158000,420000,2.3
B4668TB006,29,28,29,2956,1569,0.304,628000,1640000,2.5
B4668TB006,30,29,30,2915,1550,0.303,613000,1600000,2.5
B4668TB006,31,30,31,2987,1594,0.301,648000,1690000,2.5
B4668TB006,32,31,32,3078,1648,0.299,693000,1800000,2.5
B4668TB006,33,32,33,3152,1691,0.298,729000,1890000,2.5
B4668TB006,34,33,34,3256,1756,0.295,787000,2040000,2.5
B4668TB006,35,34,35,3355,1806,0.296,832000,2160000,2.5
B4668TB006,36,35,36,3320,1781,0.298,809000,2100000,2.5
B4668TB006,37,36,37,3210,1710,0.302,746000,1940000,2.5
B4668TB006,38,37,38,3085,1640,0.303,686000,1790000,2.5
B4668TB006,39,38,39,3152,1673,0.304,714000,1860000,2.5
B4668TB006,40,39,40,3296,1755,0.302,786000,2050000,2.5
B4668TB006,41,40,41,2987,1576,0.307,634000,1660000,2.5
B4668TB006,42,41,42,3356,1794,0.3,821000,2160000,2.5
B4668TB006,43,42,43,3045,1622,0.302,671000,1750000,2.5
B4668TB006,44,43,44,3102,1655,0.301,699000,1820000,2.5
B4668TB006,45,44,45,3096,1646,0.303,691000,1800000,2.5
B4668TB006,46,45,46,3215,1718,0.3,753000,1960000,2.5
B4668TB006,47,46,47,3325,1780,0.299,808000,2100000,2.5
B4668TB006,48,47,48,3286,1753,0.301,784000,2040000,2.5
B4668TB008,1,0,1,685,299,0.382,17300,47900,1.9
B4668TB008,2,1,2.5,812,373,0.367,26800,73400,1.9
B4668TB008,3,2.5,3,1052,510,0.346,55700,150000,2.1
B4668TB008,4,3,3.8,1252,619,0.338,82100,220000,2.1
B4668TB008,5,3.8,5,1452,733,0.329,126000,335000,2.3
B4668TB008,6,5,6,1588,814,0.322,156000,411000,2.3
B4668TB008,7,6,7,1515,771,0.325,140000,370000,2.3
B4668TB008,8,7,8,1506,768,0.324,138000,367000,2.3
B4668TB008,9,8,9,1723,886,0.32,184000,486000,2.3
