시료코드 ,시험코드 ,시험종류 ,시험제어방식 ,내부마찰각 ,점착력 
B0270BH006US01,B0270BH006US01UU,UU,STRAIN,0,0.24
B0270BH007US01,B0270BH007US01UU,UU,STRAIN,0,0.09
B0270BH008US01,B0270BH008US01UU,UU,STRAIN,0,0.33
B0270BH009US01,B0270BH009US01UU,UU,STRAIN,0,0.33
B0270BH010US01,B0270BH010US01UU,UU,STRAIN,0,0.14
B0270BH011US01,B0270BH011US01UU,UU,STRAIN,0,0.37
B0270BH014US01,B0270BH014US01UU,UU,STRAIN,0,0.23
B0270BH015US01,B0270BH015US01UU,UU,STRAIN,0,0.7
B0270BH016US01,B0270BH016US01UU,UU,STRAIN,0,0.2
B0270BH017US01,B0270BH017US01UU,UU,STRAIN,0,0.26
B0270BH018US01,B0270BH018US01UU,UU,STRAIN,0,0.16
B0270BH019US01,B0270BH019US01UU,UU,STRAIN,0,0.23
B0270BH020US01,B0270BH020US01UU,UU,STRAIN,0,0.36
B0270BH021US01,B0270BH021US01UU,UU,STRAIN,0,0.18
B0270BH022US01,B0270BH022US01UU,UU,STRAIN,0,0.23
B0270BH024US01,B0270BH024US01UU,UU,STRAIN,0,0.23
B0270BH025US01,B0270BH025US01UU,UU,STRAIN,0,0.16
B0272SB001US01,B0272SB001US01UU,UU,UU-test,0,0.17
B0272SB002US01,B0272SB002US01UU,UU,UU-test,0,0.18
B0272SB003US01,B0272SB003US01UU,UU,UU-test,0,0.13
B0272SB004US01,B0272SB004US01UU,UU,0,0,0.21
B0272SB005US01,B0272SB005US01UU,UU,0,0,0.11
B0272SB006US01,B0272SB006US01UU,UU,0,0,0.1
B0291SB002US01,B0291SB002US01CU,CU,0,0,0
B0291SB004US01,B0291SB004US01UU,UU,0,0,0.15
B0291SB005US01,B0291SB005US01UU,UU,0,0,0.19
B0291SB006US01,B0291SB006US01UU,UU,0,0.27,0
B0291SB007US01,B0291SB007US01UU,UU,0,0,0.18
B0291SB010US01,B0291SB010US01UU,UU,0,0,0.2
B0299BH009US02,B0299BH009US02UD,UU,0,0.28,0
B0310SB004US01,B0310SB004US01UU,UU,0,0,0
B0310SB008US01,B0310SB008US01CU,CU,0,0,0
B0311BB001US01,B0311BB001US01UU,UU,0,0,0
B0311BB001US02,B0311BB001US02UU,UU,0,0,0
B0311BB001US03,B0311BB001US03UU,UU,0,0,0
B0311BB002US01,B0311BB002US01UU,UU,0,0,0
B0311BB002US02,B0311BB002US02UU,UU,0,0,0
B0311BB002US03,B0311BB002US03UU,UU,0,0,0
B0311SB002US01,B0311SB002US01UU,UU,0,0,3.833
B0311SB002US02,B0311SB002US02UU,UU,0,0,0
B0311SB003US01,B0311SB003US01UU,UU,0,0,0
B0311SB003US02,B0311SB003US02UU,UU,0,0,0
B0311SB004US01,B0311SB004US01UU,UU,0,0,0
B0311SB004US02,B0311SB004US02UU,UU,0,0,0
B0311SB005US01,B0311SB005US01UU,UU,0,0,0
B0311SB005US02,B0311SB005US02UU,UU,0,0,0
B0311SB006US01,B0311SB006US01UU,UU,0,0,0
B0311SB006US02,B0311SB006US02UU,UU,0,0,0
B0311SB006US03,B0311SB006US03UU,UU,0,0,0
B0311SB007US01,B0311SB007US01UU,UU,0,0,0
B0311SB007US02,B0311SB007US02UU,UU,0,0,0
B0311SB008US01,B0311SB008US01UU,UU,0,0,0
B0312TP002US01,B0312TP002US01UU,UU,0,0,0
B0326BH004US01,B0326BH004US01UU,UU,0,0,0.162
B0326BH012DS01,B0326BH012DS01UU,UU,0,0,0.251
B0329BH052US01,B0329BH052US01UU,UU,0,0.474,0
B0330BH001DS01,B0330BH001DS01UU,UU,0,0,30.1
B0330BH003DS01,B0330BH003DS01UU,UU,0,0,58.6
B0330BH005DS01,B0330BH005DS01UU,UU,0,0,22.3
B0330BH019DS01,B0330BH019DS01UU,UU,0,0,67.5
B0330BH020DS01,B0330BH020DS01UU,UU,0,0,58.4
B0330BH036DS01,B0330BH036DS01UU,UU,0,0,20.9
B0330BH043DS01,B0330BH043DS01UU,UU,0,0,62
B0330BH046DS01,B0330BH046DS01UU,UU,0,0,19.6
B0330BH056DS01,B0330BH056DS01UU,UU,0,0,78.5
B0330BH058DS01,B0330BH058DS01UU,UU,0,0,63.5
B0387BH023DS01,B0387BH023DS01UU,UU,0,0,22.6
B0387BH028DS01,B0387BH028DS01UU,UU,0,0,50.4
B0387BH028DS01,B0387BH028DS01CU,CU,0,18.8,17.2
B0387BH039DS01,B0387BH039DS01UU,UU,0,0,81.6
B0405BH014US01,B0405BH014US01UU,UU,STRAIN,0,0.09
B0405BH015US01,B0405BH015US01UU,UU,STRAIN,0,0.178
B0408BH013US01,B0408BH013US01UU,UU,strain,0,0.285
B0408BH018US01,B0408BH018US01CU,CU,strain,5.8,0.18
B0408BH025US01,B0408BH025US01CU,CU,strain,20.8,0.27
B0408BH029US01,B0408BH029US01UU,UU,strain,0,0.432
B0417BH018US01,B0417BH018US01UU,UU,0,0,0.94
B0417BH033DS01,B0417BH033DS01UU,UU,0,0,0.4
B0445BB001DS01,B0445BB001DS01CU,CU,-,30,1.863
B0445BB007DS01,B0445BB007DS01UU,UU,0,0,0.1706
B0445BB011DS01,B0445BB011DS01CU,CU,0,12,0.882
B0445BB017DS01,B0445BB017DS01UU,UU,0,0,2.745
B0445BB018DS01,B0445BB018DS01CU,CU,0,16,0.784
B0445BB023DS01,B0445BB023DS01UU,UU,0,0,1.412
B0446BB002US01,B0446BB002US01CU,CU,0,16,0.08
B0446BB002US01,B0446BB002US01UU,UU,0,0,0.3
B0446BB002US02,B0446BB002US02UU,UU,0,0,0.32
B0446BB002US02,B0446BB002US02CU,CU,0,16,0.08
B0446BB007US01,B0446BB007US01CU,CU,0,18,0.09
B0446BB007US01,B0446BB007US01UU,UU,0,0,0.48
B0446BB008US01,B0446BB008US01CU,CU,0,18,0.06
B0446BB008US01,B0446BB008US01UU,UU,0,0,0.36
B0446BB011US01,B0446BB011US01CU,CU,0,16,0.09
B0446BB011US01,B0446BB011US01UU,UU,0,0,10
B0446BB011US02,B0446BB011US02UU,UU,0,0,0.13
B0446BB011US02,B0446BB011US02CU,CU,0,14,0.12
B0446BB013US01,B0446BB013US01CU,CU,0,16,0.11
B0446BB013US01,B0446BB013US01UU,UU,0,0,0.16
B0446BB015US01,B0446BB015US01UU,UU,0,0,0.45
B0446BB015US01,B0446BB015US01CU,CU,0,16,0.14
B0446BB017US01,B0446BB017US01CU,CU,0,12,0.16
B0446BB017US01,B0446BB017US01UU,UU,0,0,0.1
B0446BB017US02,B0446BB017US02CU,CU,0,12,0.12
B0446BB017US02,B0446BB017US02UU,UU,0,0,0.13
B0446BB019US01,B0446BB019US01CU,CU,0,15,0.09
B0446BB019US01,B0446BB019US01UU,UU,0,0,0.15
B0446BB021US01,B0446BB021US01CU,CU,0,13,0.13
B0446BB021US01,B0446BB021US01UU,UU,0,0,0.17
B0446BB022US01,B0446BB022US01UU,UU,0,0,0.12
B0446BB022US01,B0446BB022US01CU,CU,0,17,0.06
B0446BB023US01,B0446BB023US01CU,CU,0,15,0.1
B0446BB023US01,B0446BB023US01UU,UU,0,0,0.11
B0446BB026US01,B0446BB026US01CU,CU,0,17,0.1
B0446BB026US01,B0446BB026US01UU,UU,0,0,0.68
B0446BB028US01,B0446BB028US01CU,CU,0,18,0.1
B0446BB028US01,B0446BB028US01UU,UU,0,0,0.54
B0446BB029US01,B0446BB029US01CU,CU,0,21,0.09
B0446BB029US01,B0446BB029US01UU,UU,0,0,0.49
B0446BB035US01,B0446BB035US01CU,CU,0,13,0.13
B0446BB035US01,B0446BB035US01UU,UU,0,0,0.14
B0446BB036US01,B0446BB036US01CU,CU,0,13,0.13
B0446BB036US01,B0446BB036US01UU,UU,0,0,0.11
B0446BB041US01,B0446BB041US01CU,CU,0,19,0.09
B0446BB041US01,B0446BB041US01UU,UU,0,0,0.42
B0446BB043US01,B0446BB043US01CU,CU,0,18,0.09
B0446BB043US01,B0446BB043US01UU,UU,0,0,0.29
B0446BB044US01,B0446BB044US01CU,CU,0,12,0.15
B0446BB044US01,B0446BB044US01UU,UU,0,0,0.12
B0446BB046US01,B0446BB046US01CU,CU,0,15,0.12
B0446BB046US01,B0446BB046US01UU,UU,0,0,0.3
B0446BB047US01,B0446BB047US01CU,CU,0,17,0.11
B0446BB047US01,B0446BB047US01UU,UU,0,0,0.52
B0446BB051US01,B0446BB051US01CU,CU,0,16,0.11
B0446BB051US01,B0446BB051US01UU,UU,0,0,0.26
B0446BB052US01,B0446BB052US01CU,CU,0,14,0.12
B0446BB052US01,B0446BB052US01UU,UU,0,0,0.22
B0459BH007US01,B0459BH007US01UU,UU,strain,0,0.144
B0460BH005US01,B0460BH005US01UU,UU,strain,0,0.263
B0461BH005US01,B0461BH005US01UU,UU,strain,0,0.289
B0462BH005DS01,B0462BH005DS01UU,UU,strain,0,0.148
B0479BB024US01,B0479BB024US01CU,CU,0,47,0
B0479BB033US01,B0479BB033US01CU,CU,0,35,0
B0479BH001US01,B0479BH001US01CU,CU,0,28,2.04
B0479TB013US01,B0479TB013US01CU,CU,0,27,8.15
B0479TB015US01,B0479TB015US01CU,CU,0,15,4.59
B0479TP005US01,B0479TP005US01CU,CU,0,36,0
B0485SB001DS01,B0485SB001DS01UU,UU,UU,0,0.39
B0485SB002DS01,B0485SB002DS01UU,UU,UU,0,0.4
B0501CB001US01,B0501CB001US01CU,CU,0,0,0
B0513SB003US01,B0513SB003US01UU,UU,Strain,0,0.16
B0513SB004US01,B0513SB004US01UU,UU,Strain,0,0.44
B0513SB006US01,B0513SB006US01UU,UU,Strain,0,1.14
B0513SB006US02,B0513SB006US02UU,UU,Strain,0,0.37
B0513SB007US01,B0513SB007US01UU,UU,Strain,0,0.16
B0513SB007US03,B0513SB007US03UU,UU,Strain,0,0.37
B0565BB087US01,B0565BB087US01UU,UU,0,0,0.36
B0565BB133US01,B0565BB133US01CU,CU,0,25.9,0
B0565BH004US01,B0565BH004US01UU,UU,0,0,0.85
B0565BH006US02,B0565BH006US02UU,UU,0,0,0.24
B0566BB001US01,B0566BB001US01CU,CU,CU,23.2,0
B0566BB009US01,B0566BB009US01UU,UU,UU,0,0.2
B0566BB017US01,B0566BB017US01UU,UU,UU,0,0.28
B0581BH011DS01,B0581BH011DS01UU,UU,0,0,0.496
B0581BH012DS01,B0581BH012DS01UU,UU,0,0,0.496
B0583BB002DS01,B0583BB002DS01CU,CU,CU_bar,25.5,0.07
B0583BB002DS01,B0583BB002DS01UU,UU,UU,0,0.11
B0583BB004DS01,B0583BB004DS01CU,CU,UU,15.9,0.284
B0583BB004DS01,B0583BB004DS01UU,UU,UU,0,0.36
B0583BB017DS01,B0583BB017DS01UU,UU,UU,0,0.54
B0583BB018DS01,B0583BB018DS01CU,CU,CU,15.1,0.18
B0583BB018DS01,B0583BB018DS01UU,UU,UU,0,0.27
B0583BB019DS01,B0583BB019DS01UU,UU,UU,0,0.11
B0583BB020DS01,B0583BB020DS01UU,UU,UU,0,0.21
B0583BB021DS01,B0583BB021DS01UU,UU,UU,0,0.07
B0593BB002US01,B0593BB002US01CU,CU,UD,21.8,0
B0593BB096US01,B0593BB096US01UU,UU,UD,0,0.27
B0594BB006DS01,B0594BB006DS01UU,UU,UU,0,0.25
B0594BB006DS03,B0594BB006DS03CU,CU,UU,31.7,0.36
B0594BB041DS01,B0594BB041DS01UU,UU,UU,0,0.19
B0594BB041DS03,B0594BB041DS03UU,UU,UU,0,0.19
B0594BB041DS04,B0594BB041DS04CU,CU,CU,22.85,0.08
B0594BB041DS05,B0594BB041DS05UU,UU,UU,0,2.9
