X,Y,idn,dl_sm_cde,dn_sm_cde,dn_cm_cde,pie_no,ty_jl_cde,inx_no,me_og_cde,buse_cde,sat_mhe,end_mhe,en_mt_cde,mop_cde,re_om_cde,lay_ymd,lg_yo_cde,om_pe_dtr,hol_std,vel_std,pe_rw_num,lenx,spt_hsl,ept_hsl,st_pip_hit,et_pip_hit,spt_dep,ept_dep,are_dep,st_rt_rto,hh_fy_cde,chk_yno,mr_dl_cde,dr_en_yno,st_st_yno,dtr_cce,pe_nr_cce,dr_lx_cce,dr_lp_cce,yr_dx_cce,pw_hp_cce,dp_pe_cce,da_st_cde,nw_da_yno,ifw_riv,rmk,ue_st_year,cn_pl_year,cn_spot,rp_mt_cde,dg_gn_cde,cn_area,cn_cs_cde,sy_gn_cde,dv_gn_cde,mr_pl_cde,sv_yn_cde,gh_fc_chk,in_pi_cde,cn_nam,year,distance,angle
127.1294924,37.53513079,25-33104,T,SN,SN,0007-620,SB007,377052326,SB25,13,0007-620-1,0007-619-1,1,12,1,2018.12.31,0,300,0,0,1,15.04,20.42,20.66,19.82,19.64,0.3,0.72,0.51,11.97,999,,,,,Ø300,0007-620/Ø300,Ø300/L15.04,Ø300/L15.04/D0.30/D0.72,2018/Ø300/L15.04,2018/HP/Ø300/L15.04/D19.82/D19.64/S11.97,2018/HP/Ø300/L15.04/D0.30/D0.72,71,N,,,1900,2018,0,1,1,0,2,2,1,C,N,,1,성내배수분구 하수관거 종합정비사업(3블럭-2차),2018,0,295.8141733
127.1467037,37.53328421,25-30153,T,SN,GDG,0022-400,SB001,377052340,SB25,13,0022-400-00,0017-302-00,1,30,24,2002.9.12,0,0,1.5,1.5,1,123.84,26.03,25.09,23.23,22.29,1.3,1.3,1.3,7.59,999,,B,,,□1.5X1.5,0022-400/□1.5X1.5,□1.5X1.5/L123.84,□1.5X1.5/L123.84/D1.30/D1.30,2002/□1.5X1.5/L123.84,2002/RCB/□1.5X1.5/L123.84/D23.23/D22.29/S7.59,2002/RCB/□1.5X1.5/L123.84/D1.30/D1.30,41,N,,2016년정확도,2002,1900,0,,,0,0,2,1,B,N,,1,길동 298-1 주변 하수암거 개량공사,2002,0,280.8674116
127.12688,37.53630955,25-13911,T,SN,SN,0004-350,SB007,377052326,SB25,13,0004-350-1,0004-400-1,1,12,1,2018.12.31,0,600,0,0,1,11.46,18.4,18.33,17.23,17.2,0.57,0.53,0.55,2.62,999,,,,,Ø600,0004-350/Ø600,Ø600/L11.46,Ø600/L11.46/D0.57/D0.53,2018/Ø600/L11.46,2018/HP/Ø600/L11.46/D17.23/D17.20/S2.62,2018/HP/Ø600/L11.46/D0.57/D0.53,71,N,,,1900,2018,0,1,1,0,2,2,1,,N,,1,성내배수분구 하수관거 종합정비사업(3블럭-2차),2018,0,157.680674
127.1286465,37.53487943,25-05247,T,SN,SN,0007-614,SB007,377052336,SB25,13,0007-614-1,0007-706-1,1,12,1,1900.1.1,0,450,0,0,1,12.4,18.99,18.42,17.62,17.22,0.92,0.75,0.84,32.26,999,,C,,,Ø450,0007-614/Ø450,Ø450/L12.40,Ø450/L12.40/D0.92/D0.75,1900/Ø450/L12.40,1900/HP/Ø450/L12.40/D17.62/D17.22/S32.26,1900/HP/Ø450/L12.40/D0.92/D0.75,53,N,,,1900,1900,0,1,1,0,0,4,1,C,Y,,999,,1900,0,270.9567505
127.1369818,37.54425367,25-10420,T,SN,KDT,0026-200,SB007,377052318,SB25,13,0026-200-01,0026-300-1,1,12,1,1900.1.1,0,600,0,0,1,5.06,25.64,25.27,23.98,24.07,1.06,0.6,0.83,17.79,999,,C,,,Ø600,0026-200/Ø600,Ø600/L5.06,Ø600/L5.06/D1.06/D0.60,1900/Ø600/L5.06,1900/HP/Ø600/L5.06/D23.98/D24.07/S17.79,1900/HP/Ø600/L5.06/D1.06/D0.60,2,N,,,1900,1900,0,,,0,0,3,1,C,N,,999,,1900,0,152.9596531
127.1275829,37.53126852,25-33089,T,SN,SN,0021-421,SB007,377052336,SB25,13,0021-421-01,0021-400-1,1,12,1,2018.12.31,0,1000,0,0,1,2.24,14.4,14.4,12.55,12.55,0.85,0.85,0.85,0,999,,,,,Ø1000,0021-421/Ø1000,Ø1000/L2.24,Ø1000/L2.24/D0.85/D0.85,2018/Ø1000/L2.24,2018/HP/Ø1000/L2.24/D12.55/D12.55/S0.00,2018/HP/Ø1000/L2.24/D0.85/D0.85,71,N,,,1990,2018,0,1,1,0,2,2,1,B,N,,1,성내배수분구 하수관거 종합정비사업(3블럭-2차),2018,0,129.3939598
127.1265478,37.52543815,25-12452,T,SN,KDT,0254-400,SB007,377052346,SB25,13,0254-400-1,0246-200-1,1,12,1,2018.12.31,0,600,0,0,1,65.82,13.98,13.88,11.73,12.08,1.65,1.2,1.43,5.32,999,,,,,Ø600,0254-400/Ø600,Ø600/L65.82,Ø600/L65.82/D1.65/D1.20,2018/Ø600/L65.82,2018/HP/Ø600/L65.82/D11.73/D12.08/S5.32,2018/HP/Ø600/L65.82/D1.65/D1.20,71,N,,,1982,2018,0,1,1,0,2,2,1,D,N,,1,성내배수분구 하수관거 종합정비사업(3블럭-2차),2018,0,294.232476
127.145826,37.54966548,25-08110,T,SN,ML,0059-112,SB007,377052310,SB25,13,0059-112-1,0059-113-1,1,12,1,1987.4.30,0,600,0,0,1,10.75,26.78,26.53,25.53,24.63,0.65,1.3,0.98,83.72,999,N,C,,,Ø600,0059-112/Ø600,Ø600/L10.75,Ø600/L10.75/D0.65/D1.30,1987/Ø600/L10.75,1987/HP/Ø600/L10.75/D25.53/D24.63/S83.72,1987/HP/Ø600/L10.75/D0.65/D1.30,2,N,,,1987,1900,0,,,0,0,3,1,C,N,,999,명일동 325~326간 도로정비공사,1987,0,161.8505561
127.1274235,37.53640225,25-04531,T,SN,SN,0003-205,SB007,377052326,SB25,13,0003-205-1,0003-200-1,1,12,1,2018.12.31,0,450,0,0,1,48.26,18.95,18.66,17.15,17.12,1.35,1.09,1.22,0.62,999,,,,,Ø450,0003-205/Ø450,Ø450/L48.26,Ø450/L48.26/D1.35/D1.09,2018/Ø450/L48.26,2018/HP/Ø450/L48.26/D17.15/D17.12/S0.62,2018/HP/Ø450/L48.26/D1.35/D1.09,71,N,,,1900,2018,0,1,1,0,2,2,1,,N,,1,성내배수분구 하수관거 종합정비사업(3블럭-2차),2018,0,191.0004684
127.129251,37.53512004,25-13913,T,SN,SN,0007-623,SB007,377052326,SB25,13,0007-623-1,0007-608-1,1,12,1,2018.12.31,0,450,0,0,1,13.18,20.9,20.64,19.3,19.04,1.15,1.15,1.15,19.73,999,,,,,Ø450,0007-623/Ø450,Ø450/L13.18,Ø450/L13.18/D1.15/D1.15,2018/Ø450/L13.18,2018/HP/Ø450/L13.18/D19.30/D19.04/S19.73,2018/HP/Ø450/L13.18/D1.15/D1.15,71,N,,,1900,2018,0,1,1,0,2,2,1,B,N,,1,성내배수분구 하수관거 종합정비사업(3블럭-2차),2018,0,242.5424627
127.1308673,37.55375902,25-13932,T,SN,CH,0029-250,SB007,377051897,SB25,13,0029-250-1,0030-100-1,1,12,1,2018.12.31,0,600,0,0,1,16.36,17.85,17.44,16.05,15.77,1.2,1.07,1.14,17.11,999,,,,,Ø600,0029-250/Ø600,Ø600/L16.36,Ø600/L16.36/D1.20/D1.07,2018/Ø600/L16.36,2018/HP/Ø600/L16.36/D16.05/D15.77/S17.11,2018/HP/Ø600/L16.36/D1.20/D1.07,71,N,,,1989,2018,0,1,1,0,2,2,1,C,Y,,1,2018년 관내 하수도 구조물 정비공사,2018,0,253.0217299
127.1420689,37.53584405,25-11303,T,SN,KDT,0101-301,SB007,377052329,SB25,13,0101-301-1,0101-302-1,1,12,1,2018.12.31,0,600,0,0,1,48.92,22.35,21.25,21.02,19.8,0.73,0.85,0.79,24.94,999,,,,,Ø600,0101-301/Ø600,Ø600/L48.92,Ø600/L48.92/D0.73/D0.85,2018/Ø600/L48.92,2018/HP/Ø600/L48.92/D21.02/D19.80/S24.94,2018/HP/Ø600/L48.92/D0.73/D0.85,71,N,,,1980,2018,0,1,1,0,2,2,1,C,N,,1,2018년 관내 하수도 구조물 정비공사,2018,0,219.1307143
127.1325483,37.52795196,25-11663,T,SN,KDT,0234-203,SB007,377052347,SB25,13,0234-203-01,0234-204-1,1,12,1,2018.12.31,0,800,0,0,1,22.85,15.44,15.54,13.89,13.84,0.75,0.9,0.83,2.19,999,,,,,Ø800,0234-203/Ø800,Ø800/L22.85,Ø800/L22.85/D0.75/D0.90,2018/Ø800/L22.85,2018/HP/Ø800/L22.85/D13.89/D13.84/S2.19,2018/HP/Ø800/L22.85/D0.75/D0.90,71,N,,,1980,2018,0,2,1,0,2,2,1,C,N,,1,2018년 관내 하수도 구조물 정비공사,2018,0,107.7842175
127.1325385,37.53886161,25-09814,T,SN,KDT,0131-400,SB007,377052327,SB25,13,0132-100-1,0133-201-1,1,12,1,2018.12.31,0,450,0,0,1,36.22,27.29,26.89,26.06,25.64,0.78,0.8,0.79,11.6,999,,,,,Ø450,0131-400/Ø450,Ø450/L36.22,Ø450/L36.22/D0.78/D0.80,2018/Ø450/L36.22,2018/HP/Ø450/L36.22/D26.06/D25.64/S11.60,2018/HP/Ø450/L36.22/D0.78/D0.80,71,N,,,1900,2018,0,1,1,0,2,2,1,C,N,,1,2018년 관내 하수도 구조물 정비공사,2018,0,61.90192315
127.1464156,37.54949565,25-13943,T,SN,ML,,SB020,377052310,SB25,13,,,999,999,1,1900.1.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1900,0,0,,,0,,,,,,,,,1900,0,275.9450803
127.1266754,37.53645905,25-04518,T,SN,SN,0004-200,SB007,377052326,SB25,13,0004-200-1,0004-300-1,1,12,1,2018.12.31,0,600,0,0,1,15.02,18.72,18.68,17.44,17.28,0.68,0.8,0.74,10.65,999,,,,,Ø600,0004-200/Ø600,Ø600/L15.02,Ø600/L15.02/D0.68/D0.80,2018/Ø600/L15.02,2018/HP/Ø600/L15.02/D17.44/D17.28/S10.65,2018/HP/Ø600/L15.02/D0.68/D0.80,71,N,,,1900,2018,0,1,1,0,2,2,1,,N,,1,성내배수분구 하수관거 종합정비사업(3블럭-2차),2018,0,116.7979355
127.1370075,37.54426088,25-10515,T,SN,KDT,0026-301,SB007,377052318,SB25,13,0026-301-1,0026-300-1,1,12,1,1900.1.1,0,300,0,0,1,5.5,25.23,25.27,24.26,24.32,0.67,0.65,0.66,10.91,999,,D,,,Ø300,0026-301/Ø300,Ø300/L5.50,Ø300/L5.50/D0.67/D0.65,1900/Ø300/L5.50,1900/HP/Ø300/L5.50/D24.26/D24.32/S10.91,1900/HP/Ø300/L5.50/D0.67/D0.65,1,N,,,1900,1900,0,,,0,0,3,1,D,N,,999,,1900,0,184.8402525
127.12519,37.53143671,25-04942,T,SN,SN,0020-217,SB007,377052336,SB25,13,0020-217-1,0020-225-1,1,12,1,2018.12.31,0,600,0,0,1,53,15,15.15,13.48,13.35,0.92,1.2,1.06,2.45,999,,,,,Ø600,0020-217/Ø600,Ø600/L53.00,Ø600/L53.00/D0.92/D1.20,2018/Ø600/L53.00,2018/HP/Ø600/L53.00/D13.48/D13.35/S2.45,2018/HP/Ø600/L53.00/D0.92/D1.20,71,N,,,1900,2018,0,1,1,0,2,2,1,C,Y,,1,성내배수분구 하수관거 종합정비사업(3블럭-2차),2018,0,37.90032669
127.1420198,37.53505348,25-11351,T,SN,KDT,0101-200,SB001,377052329,SB25,13,0101-200-00,0101-300-00,1,30,24,1980.12.30,0,0,2.5,1.5,1,17.8,20.61,20.68,18.39,18.39,0.72,0.79,0.76,0,999,,C,,,□2.5X1.5,0101-200/□2.5X1.5,□2.5X1.5/L17.80,□2.5X1.5/L17.80/D0.72/D0.79,1980/□2.5X1.5/L17.80,1980/RCB/□2.5X1.5/L17.80/D18.39/D18.39/S0.00,1980/RCB/□2.5X1.5/L17.80/D0.72/D0.79,2,N,,,1980,1900,0,,,0,0,3,1,C,N,,999,,1980,0,284.1684484
127.1414767,37.53518196,25-11274,T,SN,KDT,0101-400,SB001,377052329,SB25,13,0101-400-00,0101-500-00,1,30,24,1980.12.30,0,0,2.5,1.5,1,17.55,20.35,20.3,18.27,17.85,0.58,0.95,0.77,23.93,999,,D,,,□2.5X1.5,0101-400/□2.5X1.5,□2.5X1.5/L17.55,□2.5X1.5/L17.55/D0.58/D0.95,1980/□2.5X1.5/L17.55,1980/RCB/□2.5X1.5/L17.55/D18.27/D17.85/S23.93,1980/RCB/□2.5X1.5/L17.55/D0.58/D0.95,2,N,,,1980,1900,0,,,0,0,3,1,D,N,,999,,1980,0,284.3374336
127.1268175,37.53638525,25-04523,T,SN,SN,0004-300,SB007,377052326,SB25,13,0004-300-1,0004-350-1,1,12,1,2018.12.31,0,600,0,0,1,10.05,18.68,18.4,17.28,17.25,0.8,0.55,0.68,2.99,999,,,,,Ø600,0004-300/Ø600,Ø600/L10.05,Ø600/L10.05/D0.80/D0.55,2018/Ø600/L10.05,2018/HP/Ø600/L10.05/D17.28/D17.25/S2.99,2018/HP/Ø600/L10.05/D0.80/D0.55,71,N,,,1900,2018,0,1,1,0,2,2,1,,N,,1,성내배수분구 하수관거 종합정비사업(3블럭-2차),2018,0,140.4951378
127.1296845,37.5431179,25-03446,T,SN,CH,0347-401,SB007,377052316,SB25,13,0330-701-01,0347-405-1,1,12,1,1900.1.1,0,600,0,0,1,15.22,18.38,18.45,17.59,17.1,0.19,0.75,0.47,32.19,999,,D,,,Ø600,0347-401/Ø600,Ø600/L15.22,Ø600/L15.22/D0.19/D0.75,1900/Ø600/L15.22,1900/HP/Ø600/L15.22/D17.59/D17.10/S32.19,1900/HP/Ø600/L15.22/D0.19/D0.75,40,N,,,1900,1900,0,,,0,0,5,1,D,Y,,999,,1900,0,19.68681248
127.1254064,37.53530785,25-00764,T,SN,PN,0056-114,SB007,377052326,SB25,13,0058-301-1,0056-115-1,1,37,1,1900.1.1,0,450,0,0,1,27.27,18.8,18.58,17.74,17.68,0.61,0.45,0.53,2.2,999,,C,,,Ø450,0056-114/Ø450,Ø450/L27.27,Ø450/L27.27/D0.61/D0.45,1900/Ø450/L27.27,1900/CP/Ø450/L27.27/D17.74/D17.68/S2.20,1900/CP/Ø450/L27.27/D0.61/D0.45,1,N,,,1900,1900,0,,,0,0,3,1,C,N,,999,,1900,0,108.3313952
