idn,dl_sm_cde,dn_sm_cde,dn_cm_cde,pie_no,ty_jl_cde,inx_no,me_og_cde,buse_cde,sat_mhe,end_mhe,en_mt_cde,mop_cde,re_om_cde,lay_ymd,lg_yo_cde,om_pe_dtr,hol_std,vel_std,pe_rw_num,lenx,spt_hsl,ept_hsl,st_pip_hit,et_pip_hit,spt_dep,ept_dep,are_dep,st_rt_rto,hh_fy_cde,chk_yno,mr_dl_cde,dr_en_yno,st_st_yno,dtr_cce,pe_nr_cce,dr_lx_cce,dr_lp_cce,yr_dx_cce,pw_hp_cce,dp_pe_cce,da_st_cde,nw_da_yno,ifw_riv,rmk,ue_st_year,cn_pl_year,cn_spot,rp_mt_cde,dg_gn_cde,cn_area,cn_cs_cde,sy_gn_cde,dv_gn_cde,mr_pl_cde,sv_yn_cde,gh_fc_chk,in_pi_cde,cn_nam,year
25-13602,T,SN,CH,9000-360,SB001,"377052305",SB25,"13",9000-360-00,9000-400-00,"001","030","024",2017/11/30,"0","0",3.30,2.80,"2",1.340,16.62,16.62,11.82,12.12,2.00,1.70,1.85,223.88,"999",,,,,2@□3.3X2.8,9000-360/2@□3.3X2.8,2@□3.3X2.8/L1.34,2@□3.3X2.8/L1.34/D2.00/D1.70,2017/2@□3.3X2.8/L1.34,2017/RCB/2@□3.3X2.8/L1.34/D11.82/D12.12/S223.88,2017/RCB/2@□3.3X2.8/L1.34/D2.00/D1.70,"71",N,,,"2017","1900","0",,,0.00,"2","02","01",,N,,"001",,"2017"
25-04739,T,SN,SN,0073-300,SB007,"377052345",SB25,"13",0073-300-1,0073-400-1,"001","012","001",2013/12/31,"0","600",0.00,0.00,"1",37.390,13.86,13.95,12.09,12.07,1.17,1.28,1.23,0.53,"999",,,,,Ø600,0073-300/Ø600,Ø600/L37.39,Ø600/L37.39/D1.17/D1.28,2013/Ø600/L37.39,2013/HP/Ø600/L37.39/D12.09/D12.07/S0.53,2013/HP/Ø600/L37.39/D1.17/D1.28,"71",N,,,"1982","2013","0","001","001",0.00,"2","02","01",B,N,,"999",성내배수분구 하수관로 종합정비 공사,"2013"
25-02146,T,SN,CH,0400-200,SB007,"377052316",SB25,"12",0400-200-1,0400-300-01,"001","012","001",1989/10/17,"0","600",0.00,0.00,"1",7.050,16.33,16.22,15.04,14.71,0.64,0.86,0.75,46.81,"999",,C,,,Ø600,0400-200/Ø600,Ø600/L7.05,Ø600/L7.05/D0.64/D0.86,1989/Ø600/L7.05,1989/HP/Ø600/L7.05/D15.04/D14.71/S46.81,1989/HP/Ø600/L7.05/D 0.64/D 0.86,"02",N,,,"1989","1900","0",,,0.00,"0","03","01",C,N,,"999",천호동 327번지 주변 하수도 개량공사,"1989"
25-11147,T,SN,KDT,0104-103,SB007,"377052339",SB25,"12",0104-103-01,0104-104-01,"001","012","001",1980/12/30,"0","600",0.00,0.00,"1",35.060,19.93,20.00,19.08,18.80,0.20,0.55,0.38,7.99,"999",,D,,,Ø600,0104-103/Ø600,Ø600/L35.06,Ø600/L35.06/D0.20/D0.55,1980/Ø600/L35.06,1980/HP/Ø600/L35.06/D19.08/D18.80/S7.99,1980/HP/Ø600/L35.06/D 0.20/D 0.55,"02",N,,,"1980","1900","0",,,0.00,"0","03","01",D,N,,"999",,"1980"
25-T0022,T,SN,AS,HGL5-012,SB024,"377051876",SB73,"90",HGL5-012-00,HGL5-013-00,"001","030","024",1900/01/01,"0","0",1.60,1.60,"1",100.620,11.70,12.76,8.38,8.36,1.72,2.80,2.26,0.20,"999",,,,,□1.6X1.6,HGL5-012/□1.6X1.6,□1.6X1.6/L100.62,□1.6X1.6/L100.62/D2.66/D3.00,1900/□1.6X1.6/L100.62,1900/□1.6X1.6/L100.62/D12.81/D13.10/S0.3,1900/□1.6X1.6L100.62/D2.83/D3.00,"81",N,HB00S0,한강좌안,"1900","1900","0","999","002",0.00,"0","02","01",,N,Y,"001",차집관거 성능개선 기본.실시설계 및 전산화 DB구축 용역(탄천2차),"1900"
25-01506,T,SN,CH,0241-401,SB007,"377052318",SB25,"12",0241-401-1,0241-402-1,"001","037","001",1980/12/31,"0","450",0.00,0.00,"1",25.390,23.95,23.90,22.35,22.27,1.10,1.13,1.12,3.15,"999",,D,,,Ø450,0241-401/Ø450,Ø450/L25.39,Ø450/L25.39/D1.10/D1.13,1980/Ø450/L25.39,1980/CP/Ø450/L25.39/D22.35/D22.27/S3.15,1980/CP/Ø450/L25.39/D 1.10/D 1.13,"40",N,,,"1980","1900","0",,,0.00,"0","05","01",D,Y,,"999",,"1980"
25-12101,T,SN,KDT,0167-400,SB007,"377052349",SB25,"12",0167-400-01,0168-100-1,"001","012","001",1980/12/30,"0","600",0.00,0.00,"1",11.060,23.31,22.74,21.58,21.39,1.08,0.70,0.89,17.18,"999",N,C,N,N,Ø600,0167-400/Ø600,Ø600/L11.06,Ø600/L11.06/D1.08/D0.70,1980/Ø600/L11.06,1980/HP/Ø600/L11.06/D23.31/D22.74/S17.18,1980/HP/Ø600/L11.06/D1.08/D0.7,"13",N,,,"1980","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1980"
25-09010,T,SN,GDG,0022-318,SB007,"377052340",SB25,"13",0022-318-1,0022-319-1,"001","012","001",1900/01/01,"0","450",0.00,0.00,"1",10.000,30.16,30.01,28.66,28.51,1.00,1.00,1.00,15.00,"999",N,C,N,N,Ø450,0022-318/Ø450,Ø450/L10,Ø450/L10/D1.00/D1.00,1900/Ø450/L10,1900/HP/Ø450/L10/D30.16/D30.01/S  15.00,1900/HP/Ø450/L10/D1/D1,"23",N,,,"2005","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1900"
25-01833,T,SN,CH,0370-101,SB007,"377052315",SB25,"13",0370-101-1,0404-103-1,"001","012","001",1980/12/31,"0","450",0.00,0.00,"1",4.170,17.47,17.53,16.27,16.42,0.75,0.66,0.71,35.97,"999",,D,,,Ø450,0370-101/Ø450,Ø450/L4.17,Ø450/L4.17/D0.75/D0.66,1980/Ø450/L4.17,1980/HP/Ø450/L4.17/D16.27/D16.42/S35.97,1980/HP/Ø450/L4.17/D0.75/D0.66,"40",N,,,"1980","1900","0",,,0.00,"0","01","01",D,Y,,"999",,"1980"
25-01360,T,SN,CH,0324-304,SB007,"377052316",SB25,"13",0324-304-01,0324-305-1,"001","012","001",1900/01/01,"0","450",0.00,0.00,"1",9.720,18.86,18.62,17.52,17.89,0.89,0.28,0.59,38.07,"999",,B,,,Ø450,0324-304/Ø450,Ø450/L9.72,Ø450/L9.72/D0.89/D0.28,1900/Ø450/L9.72,1900/HP/Ø450/L9.72/D17.52/D17.89/S38.07,1900/HP/Ø450/L9.72/D0.89/D0.28,"12",N,,,"1900","1900","0",,,0.00,"0","99","01",B,N,,"999",,"1900"
25-02594,T,SN,CH,8010-200,SB007,"377052309",SB25,"12",8010-200-1,8011-100-1,"001","012","001",1993/12/23,"0","450",0.00,0.00,"1",29.220,33.75,33.17,32.32,31.25,0.93,1.42,1.18,36.62,"999",,C,,,Ø450,8010-200/Ø450,Ø450/L29.22,Ø450/L29.22/D0.93/D1.42,1993/Ø450/L29.22,1993/HP/Ø450/L29.22/D32.32/D31.25/S36.62,1993/HP/Ø450/L29.22/D 0.93/D 1.42,"23",N,,,"1993","2010","0",,,0.00,"1","03","01",C,N,,"999",암사동 421의26~명일동 322의 16간 도로개설공사,"1993"
25-01893,T,SN,CH,0287-200,SB001,"377052316",SB25,"12",0287-200-00,0360-100-00,"001","030","024",1980/12/31,"0","0",2.50,2.50,"1",7.630,16.40,16.33,13.03,12.50,0.67,1.13,0.90,69.46,"999",,D,,,□2.5X2.5,0287-200/□2.5X2.5,□2.5X2.5/L7.63,□2.5X2.5/L7.63/D0.67/D1.13,1980/□2.5X2.5/L7.63,1980/RC_BOX/□2.5X2.5/L7.63/D13.03/D12.50/S69.46,1980/RC_BOX/□2.5X2.5/L7.63/D 0.67/D 1.13,"02",N,,,"1980","2010","0",,,0.00,"1","03","01",D,N,,"999",,"1980"
25-11844,T,SN,KDT,0283-400,SB001,"377052357",SB25,"12",0283-400-00,0283-500-00,"001","030","024",1980/12/30,"0","0",1.50,2.50,"1",66.280,15.51,15.39,12.50,12.45,0.31,0.24,0.28,0.75,"999",,C,,,□1.5X2.5,0283-400/□1.5X2.5,□1.5X2.5/L66.28,□1.5X2.5/L66.28/D0.31/D0.24,1980/□1.5X2.5/L66.28,1980/RC_BOX/□1.5X2.5/L66.28/D12.50/D12.45/S0.75,1980/RC_BOX/□1.5X2.5/L66.28/D 0.31/D 0.24,"02",N,,,"1980","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1980"
25-30554,T,SN,CH,,SB020,"377051897",SB25,"12",,,"999","999","999",1980/12/31,"0","0",0.00,0.00,"1",0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"999",,,,,,,,,,,,"99",N,,,"1900","1900","0",,,0.00,"0","99","01",,N,,"999",,"1980"
25-06813,T,SN,SLO,5128-300,SB010,"377051974",SB25,"13",5128-300-1,0038-100-1,"002","012","001",1999/01/01,"0","600",0.00,0.00,"1",3.910,22.60,22.61,21.05,20.88,0.95,1.13,1.04,43.48,"999",N,D,,,Ø600,5128-300/Ø600,Ø600/L3.91,Ø600/L3.91/D0.95/D1.13,1999/Ø600/L3.91,1999/HP/Ø600/L3.91/D21.05/D20.88/S43.48,1999/HP/Ø600/L3.91/D0.95/D1.13,"11",N,,,"1999","1900","0",,,0.00,"0","03","01",D,N,,"999",,"1999"
25-30456,T,SN,CH,0052-200,SB007,"377052307",SB25,"12",0052-200-1,0052-300-1,"001","012","001",2001/09/09,"0","600",0.00,0.00,"1",36.880,16.18,16.10,15.11,14.87,0.42,0.58,0.50,6.51,"999",,B,,,Ø600,0052-200/Ø600,Ø600/L36.88,Ø600/L36.88/D0.42/D0.58,2001/Ø600/L36.88,2001/HP/Ø600/L36.88/D15.11/D14.87/S6.51,2001/HP/Ø600/L36.88/D 0.42/D 0.58,"23",N,,,"2001","1900","0",,,0.00,"0","03","01",B,N,,"999",암사동 462-1 ~ 500-4번지 주변 하수암거 개량공사,"2001"
25-02617,T,SN,CH,0151-400,SB007,"377051897",SB25,"13",0151-400-01,0151-500-1,"001","012","001",1992/11/09,"0","600",0.00,0.00,"1",30.630,27.76,26.62,25.94,25.04,1.22,0.98,1.10,29.38,"999",,C,,,Ø600,0151-400/Ø600,Ø600/L30.63,Ø600/L30.63/D1.22/D0.98,1992/Ø600/L30.63,1992/HP/Ø600/L30.63/D25.94/D25.04/S29.38,1992/HP/Ø600/L30.63/D1.22/D0.98,"23",N,,,"1992","1900","0",,,0.00,"0","03","01",C,N,,"999",암사동 456주변 하수도개량공사,"1992"
25-07195,T,SN,ML,0018-105,SB007,"377051992",SB25,"12",0018-105-01,0018-106-1,"001","012","001",1988/12/30,"0","600",0.00,0.00,"1",2.500,36.82,36.76,35.40,35.39,0.77,0.72,0.75,4.00,"999",,C,,,Ø600,0018-105/Ø600,Ø600/L2.5,Ø600/L2.5/D0.77/D0.72,1988/Ø600/L2.5,1988/HP/Ø600/L2.50/D35.40/D35.39/S4.00,1988/HP/Ø600/L2.50/D 0.77/D 0.72,"02",N,,,"1988","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1988"
25-06312,T,SN,SLO,5166-200,SB010,"377051984",SB25,"13",5166-200-1,5168-200-1,"002","012","001",1988/12/30,"0","300",0.00,0.00,"1",65.650,21.22,21.09,20.17,19.54,0.75,1.25,1.00,9.60,"999",N,C,,,Ø300,5166-200/Ø300,Ø300/L65.65,Ø300/L65.65/D0.75/D1.25,1988/Ø300/L65.65,1988/HP/Ø300/L65.65/D20.17/D19.54/S9.60,1988/HP/Ø300/L65.65/D0.75/D1.25,"41",N,,2015년정확도,"1988","1900","0",,,0.00,"0","02","01",C,N,,"001",,"1988"
25-19011,T,SN,ML,,SB020,"377052310",SB25,"13",,,"999","999","001",1900/01/01,"0","0",0.00,0.00,"1",0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"999",N,,,,,,,,,,,"99",N,,,"1900","0","0",,,0.00,,"99","01",,N,,"999",,"1900"
25-07838,T,SN,ML,0041-200,SB007,"377052310",SB25,"12",0041-200-1,0041-300-1,"001","012","001",1971/12/10,"0","600",0.00,0.00,"1",38.110,36.84,34.51,35.13,32.76,1.06,1.10,1.08,62.19,"999",,C,,,Ø600,0041-200/Ø600,Ø600/L38.11,Ø600/L38.11/D1.06/D1.10,1971/Ø600/L38.11,1971/HP/Ø600/L38.11/D35.13/D32.76/S62.19,1971/HP/Ø600/L38.11/D 1.06/D 1.10,"01",N,,,"1900","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1971"
25-40272,T,SN,SLT,1200-250,SB009,"377051985",SB25,"13",1200-250-00,1200-300-00,"002","030","024",2011/12/30,"0","0",4.00,2.00,"1",612.710,17.46,16.69,14.63,13.62,0.83,1.07,0.95,1.65,"999",,,,,□4.0X2.0,1200-250/□4.0X2.0,□4.0X2.0/L612.71,□4.0X2.0/L612.71/D0.83/D1.07,2011/□4.0X2.0/L612.71,2011/RCB/□4.0X2.0/L612.71/D14.63/D13.62/S1.65,2011/RCB/□4.0X2.0/L612.71/D0.83/D1.07,"62",N,,,"2011","1900","0",,,0.00,"0","02","02",,N,,"999",강일2지구 하수관거,"2011"
25-07130,T,SN,ML,0013-212,SB007,"377051991",SB25,"13",0013-212-01,0013-213-1,"001","012","001",1900/01/01,"0","300",0.00,0.00,"1",5.550,31.68,32.03,30.11,29.93,1.27,1.80,1.54,32.43,"999",N,M,,,Ø300,0013-212/Ø300,Ø300/L5.55,Ø300/L5.55/D1.27/D1.80,1900/Ø300/L5.55,1900/HP/Ø300/L5.55/D30.11/D29.93/S32.43,1900/HP/Ø300/L5.55/D1.27/D1.80,"40",N,,,"1900","1900","0",,,0.00,"0","05","01",M,Y,,"999",,"1900"
25-12149,T,SN,KDT,0223-109,SB007,"377052349",SB25,"12",0223-109-1,0223-111-1,"001","012","001",1900/01/01,"0","600",0.00,0.00,"1",6.630,18.75,18.71,17.38,17.30,0.72,0.76,0.74,12.07,"999",,D,,,Ø600,0223-109/Ø600,Ø600/L6.63,Ø600/L6.63/D0.72/D0.76,1900/Ø600/L6.63,1900/HP/Ø600/L6.63/D17.38/D17.30/S12.07,1900/HP/Ø600/L6.63/D 0.72/D 0.76,"01",N,,,"1900","1900","0",,,0.00,"0","03","01",D,N,,"999",,"1900"
25-40009,T,SN,SLT,1213-300,SB010,"377051985",SB25,"13",1213-300-1,1213-400-1,"002","105","001",2011/12/30,"0","400",0.00,0.00,"1",35.980,24.03,23.43,19.35,19.24,4.28,3.79,4.04,3.06,"999",,,,,Ø400,1213-300/Ø400,Ø400/L35.98,Ø400/L35.98/D4.28/D3.79,2011/Ø400/L35.98,2011/PVC-DC/Ø400/L35.98/D19.35/D19.24/S3.06,2011/PVC-DC/Ø400/L35.98/D4.28/D3.79,"62",N,,,"2011","1900","0",,,0.00,"0","02","02",,N,,"999",강일2지구 하수관거,"2011"
25-30152,T,SN,GDG,0017-301,SB001,"377052340",SB25,"13",0017-301-00,0017-302-00,"001","030","024",1987/07/11,"0","0",2.50,1.50,"1",1.760,25.08,25.09,22.28,22.29,1.30,1.30,1.30,5.68,"999",,C,,,□2.5X1.5,0017-301/□2.5X1.5,□2.5X1.5/L1.76,□2.5X1.5/L1.76/D1.30/D1.30,1987/□2.5X1.5/L1.76,1987/RCB/□2.5X1.5/L1.76/D22.28/D22.29/S5.68,1987/RCB/□2.5X1.5/L1.76/D1.30/D1.30,"41",N,,2016년정확도,"1987","1900","0",,,0.00,"0","02","01",C,N,,"001",길동 317~288간 하수도개량및 포장공사,"1987"
25-01158,T,SN,CH,,SB020,"377052317",SB25,"12",,,"999","999","999",1980/12/31,"0","0",0.00,0.00,"1",0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"999",,,,,,,,,,,,"99",N,,,"1900","1900","0",,,0.00,"0","99","01",,N,,"999",,"1980"
25-06273,T,SN,SLO,5162-101,SB010,"377051984",SB25,"13",5167-100-1,5162-100-1,"002","012","001",1997/08/23,"0","300",0.00,0.00,"1",39.900,21.65,21.70,20.58,20.29,0.77,1.11,0.94,7.27,"999",N,C,,,Ø300,5162-101/Ø300,Ø300/L39.90,Ø300/L39.90/D0.77/D1.11,1997/Ø300/L39.90,1997/HP/Ø300/L39.90/D20.58/D20.29/S7.27,1997/HP/Ø300/L39.90/D0.77/D1.11,"40",N,,,"1997","1900","0",,,0.00,"0","05","01",C,N,,"999","고덕동 165, 200번지 오수관 개량공사","1997"
25-12395,T,SN,KDT,,SB020,"377052339",SB25,"12",,,"999","999","999",1980/12/30,"0","0",0.00,0.00,"1",0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"999",,,,,,,,,,,,"99",N,,,"1900","1900","0",,,0.00,"0","99","01",,N,,"999",,"1980"
25-12354,T,SN,KDT,0165-100,SB001,"377052339",SB25,"12",0165-100-00,0166-101-00,"001","030","024",1980/12/30,"0","0",3.00,3.00,"1",204.380,23.44,21.92,17.80,17.50,2.44,1.22,1.83,1.47,"999",,D,,,□3.0X3.0,0165-100/□3.0X3.0,□3.0X3.0/L204.38,□3.0X3.0/L204.38/D2.44/D1.22,1980/□3.0X3.0/L204.38,1980/RC_BOX/□3.0X3.0/L204.38/D17.80/D17.50/S1.47,1980/RC_BOX/□3.0X3.0/L204.38/D 2.44/D 1.22,"02",N,,,"1980","1900","0",,,0.00,"0","03","01",D,N,,"999",,"1980"
25-09626,T,SN,GDG,0029-800,SB007,"377052348",SB25,"13",0029-800-1,0225-100-00,"001","012","001",2005/01/01,"0","1000",0.00,0.00,"1",44.970,17.37,17.50,15.14,15.30,1.23,1.20,1.22,3.56,"999",N,D,N,N,Ø1000,0029-800/Ø1000,Ø1000/L44.97,Ø1000/L44.97/D1.23/D1.20,2005/Ø1000/L44.97,2005/HP/Ø1000/L44.97/D15.14/D15.30/S3.56,2005/HP/Ø1000/L44.97/D1.23/D1.20,"41",N,,2013년정확도 관경불합치 및 관거연결불일치 지역,"2005","2010","0",,,0.00,"1","02","01",D,N,,"001",둔촌주공(아)1단지앞 하수관개량공사,"2005"
25-10308,T,SN,KDT,0031-600,SB007,"377052329",SB25,"12",0031-600-1,0032-100-00,"001","012","001",2001/10/24,"0","1100",0.00,0.00,"1",5.310,18.47,18.52,15.78,15.77,1.54,1.60,1.57,1.88,"999",,C,,,Ø1100,0031-600/Ø1100,Ø1100/L5.31,Ø1100/L5.31/D1.54/D1.60,2001/Ø1100/L5.31,2001/HP/Ø1100/L5.31/D15.78/D15.77/S1.88,2001/HP/Ø1100/L5.31/D 1.54/D 1.60,"40",N,,,"2001","1900","0",,,0.00,"0","05","01",C,Y,,"999",천호동 123~21간 도로확장공사,"2001"
25-10647,T,SN,KDT,0006-930,SB001,"377052320",SB25,"12",0006-930-1,0007-100-00,"001","030","024",1980/12/30,"0","0",2.50,1.50,"1",5.870,22.08,22.16,20.01,19.05,0.37,1.41,0.89,163.54,"999",,D,,,□2.5X1.5,0006-930/□2.5X1.5,□2.5X1.5/L5.87,□2.5X1.5/L5.87/D0.37/D1.41,1980/□2.5X1.5/L5.87,1980/RC_BOX/□2.5X1.5/L5.87/D20.01/D19.05/S163.54,1980/RC_BOX/□2.5X1.5/L5.87/D 0.37/D 1.41,"02",N,,,"1980","1900","0",,,0.00,"0","03","01",D,N,,"999",,"1980"
25-07302,T,SN,ML,0019-400,SB007,"377052401",SB25,"13",0019-400-1,0015-200-00,"001","012","001",2006/05/26,"0","1350",0.00,0.00,"1",89.600,27.72,27.60,24.69,24.25,1.68,2.00,1.84,4.91,"999",N,B,,,Ø1350,0019-400/Ø1350,Ø1350/L89.60,Ø1350/L89.60/D1.68/D2.00,2006/Ø1350/L89.60,2006/HP/Ø1350/L89.60/D24.69/D24.25/S4.91,2006/HP/Ø1350/L89.60/D1.68/D2.00,"41",N,,2015년정확도,"2006","1900","0",,,0.00,"0","02","01",B,N,,"001",명일동 249주변 하수관 개량공사,"2006"
25-06697,T,SN,SLO,0960-102,SB007,"377052415",SB25,"12",0960-102-01,0960-105-1,"001","012","001",1900/01/01,"0","450",0.00,0.00,"1",4.770,25.70,25.53,25.00,24.52,0.20,0.51,0.36,100.63,"999",,D,,,Ø450,0960-102/Ø450,Ø450/L4.77,Ø450/L4.77/D0.20/D0.51,1900/Ø450/L4.77,1900/HP/Ø450/L4.77/D25.00/D24.52/S100.63,1900/HP/Ø450/L4.77/D 0.20/D 0.51,"02",N,,,"1900","1900","0",,,0.00,"0","03","01",D,N,,"999",,"1900"
25-30300,T,SN,SN,0020-300,SB001,"377052336",SB25,"13",0020-300-00,0029-100-00,"001","030","024",1900/01/01,"0","0",2.00,2.00,"1",41.400,14.44,14.44,11.52,11.40,0.92,1.04,0.98,2.90,"999",,C,,,□2.0X2.0,0020-300/□2.0X2.0,□2.0X2.0/L41.4,□2.0X2.0/L41.4/D0.92/D1.04,1900/□2.0X2.0/L41.4,1900/RCB/□2.0X2.0/L41.40/D11.52/D11.40/S2.90,1900/RCB/□2.0X2.0/L41.40/D0.92/D1.04,"52",N,,,"1900","1900","1","005","002",0.00,"0","05","01",C,Y,,"999",,"1900"
25-07031,T,SN,SLO,0232-200,SB007,"377051985",SB25,"13",0232-200-1,0050-150-1,"001","012","001",1988/12/30,"0","600",0.00,0.00,"1",41.760,21.10,20.32,18.95,18.42,1.55,1.30,1.43,12.69,"999",N,C,,,Ø600,0232-200/Ø600,Ø600/L41.76,Ø600/L41.76/D1.55/D1.30,1988/Ø600/L41.76,1988/HP/Ø600/L41.76/D18.95/D18.42/S12.69,1988/HP/Ø600/L41.76/D1.55/D1.30,"41",N,,2015년정확도,"1988","1900","0",,,0.00,"0","02","01",C,N,,"001",,"1988"
25-11852,T,SN,KDT,0241-503,SB007,"377052357",SB25,"12",0241-503-1,0215-501-1,"001","012","001",1980/12/30,"0","600",0.00,0.00,"1",67.400,14.80,14.51,13.38,13.26,0.77,0.60,0.69,1.78,"999",,D,,,Ø600,0241-503/Ø600,Ø600/L67.4,Ø600/L67.4/D0.77/D0.60,1980/Ø600/L67.4,1980/HP/Ø600/L67.40/D13.38/D13.26/S1.78,1980/HP/Ø600/L67.40/D 0.77/D 0.60,"01",N,,,"1980","1900","0",,,0.00,"0","03","01",D,N,,"999",,"1980"
25-04218,T,SN,AS,0128-401,SB007,"377051898",SB25,"12",0128-401-1,0128-402-1,"001","012","001",1999/05/31,"0","600",0.00,0.00,"1",39.000,21.61,21.57,19.58,19.15,1.38,1.77,1.58,11.03,"999",,C,,,Ø600,0128-401/Ø600,Ø600/L39,Ø600/L39/D1.38/D1.77,1999/Ø600/L39,1999/HP/Ø600/L39.00/D19.58/D19.15/S11.03,1999/HP/Ø600/L39.00/D 1.38/D 1.77,"40",N,,,"1999","1900","0",,,0.00,"0","05","01",C,Y,,"999",암사동 178번지 외 1개소 하수관 개량공사,"1999"
25-18046,T,SN,AS,0125-250,SB001,"377051888",SB25,"13",0125-250-00,0130-100-00,"001","030","024",1992/09/28,"0","0",2.00,1.20,"1",133.010,19.91,18.66,17.22,16.20,1.49,1.26,1.38,7.67,"999",,C,,,□2.0X1.2,0125-250/□2.0X1.2,□2.0X1.2/L133.01,□2.0X1.2/L133.01/D1.49/D1.26,1992/□2.0X1.2/L133.01,1992/RCB/□2.0X1.2/L133.01/D17.22/D16.20/S7.67,1992/RCB/□2.0X1.2/L133.01/D1.49/D1.26,"02",N,,,"1992","1900","0",,,0.00,"0","99","01",C,N,,"999",암사동 450번지 암거공사,"1992"
25-11006,T,SN,KDT,0263-310,SB007,"377052329",SB25,"12",0263-316-1,0263-311-1,"001","012","001",2004/11/26,"0","600",0.00,0.00,"1",24.080,21.04,20.69,19.37,19.24,1.02,0.80,0.91,5.40,"999",,B,,,Ø600,0263-310/Ø600,Ø600/L24.08,Ø600/L24.08/D1.02/D0.80,2004/Ø600/L24.08,2004/HP/Ø600/L24.08/D19.37/D19.24/S5.40,2004/HP/Ø600/L24.08/D 1.02/D 0.80,"23",N,,,"2004","1900","0",,,0.00,"0","03","01",B,N,,"999",길2동 347번지 주변 하수관정비공사,"2004"
25-05074,T,SN,SN,0040-102,SB007,"377052337",SB25,"13",0040-102-1,0040-103-1,"001","012","001",1990/07/23,"0","600",0.00,0.00,"1",39.470,14.98,15.01,13.18,13.01,1.20,1.40,1.30,4.31,"999",,C,,,Ø600,0040-102/Ø600,Ø600/L39.47,Ø600/L39.47/D1.20/D1.40,1990/Ø600/L39.47,1990/HP/Ø600/L39.47/D13.18/D13.01/S4.31,1990/HP/Ø600/L39.47/D1.20/D1.40,"53",N,,,"1990","1900","0","004","002",0.00,"0","04","01",C,N,,"999",성내동 420번지 하수도 정비공사(개량-적색),"1990"
25-18551,T,SN,CH,,SB020,"377052305",SB25,"13",,,"999","999","999",1900/01/01,"0","0",0.00,0.00,"1",0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"999",,,,,,,,,,,,"41",N,,2012년정확도 펌프장,"1900","1900","0",,,0.00,"0","99","01",,N,,"999",,"1900"
25-12553,T,SN,KDT,0009-201,SB007,"377052330",SB25,"12",0004-201-1,0009-200-1,"001","012","001",1980/12/30,"0","600",0.00,0.00,"1",27.100,24.23,24.22,22.99,22.73,0.59,0.84,0.72,9.59,"999",,C,,,Ø600,0009-201/Ø600,Ø600/L27.1,Ø600/L27.1/D0.59/D0.84,1980/Ø600/L27.1,1980/HP/Ø600/L27.10/D22.99/D22.73/S9.59,1980/HP/Ø600/L27.10/D 0.59/D 0.84,"01",N,,,"1980","2010","0",,,0.00,"1","03","01",C,N,,"999",,"1980"
25-11712,T,SN,KDT,0208-501,SB007,"377052348",SB25,"12",0208-501-1,0208-502-1,"001","012","001",1980/12/30,"0","450",0.00,0.00,"1",21.160,15.62,15.58,14.42,14.33,0.70,0.75,0.73,4.25,"999",,M,,,Ø450,0208-501/Ø450,Ø450/L21.16,Ø450/L21.16/D0.70/D0.75,1980/Ø450/L21.16,1980/HP/Ø450/L21.16/D14.42/D14.33/S4.25,1980/HP/Ø450/L21.16/D 0.70/D 0.75,"40",N,,,"1980","1900","0",,,0.00,"0","05","01",M,Y,,"999",,"1980"
25-35426,T,SN,SLT,0055-900,SB009,"377051975",SB25,"13",0055-900-00,0056-100-00,"002","030","024",2010/01/01,"0","0",2.50,2.00,"1",24.330,20.09,20.20,13.25,13.19,4.84,5.01,4.92,2.47,"999",,,,,□2.5X2.0,0055-900/□2.5X2.0,□2.5X2.0/L24.33,□2.5X2.0/L24.33/D4.84/D5.01,2010/□2.5X2.0/L24.33,2010/RCB/□2.5X2.0/L24.33/D13.25/D13.19/S2.47,2010/RCB/□2.5X2.0/L24.33/D4.84/D5.01,"62",N,,,"2010","1900","0",,,0.00,"0","02","02",,N,,"999",강일1지구 하수관거,"2010"
25-03799,T,SN,CH,0333-401,SB007,"377052327",SB25,"12",0333-401-1,0333-402-1,"001","012","001",1988/01/01,"0","450",0.00,0.00,"1",29.220,18.15,17.75,17.40,16.80,0.25,0.45,0.35,20.53,"999",,C,,,Ø450,0333-401/Ø450,Ø450/L29.22,Ø450/L29.22/D0.25/D0.45,1988/Ø450/L29.22,1988/HP/Ø450/L29.22/D17.40/D16.80/S20.53,1988/HP/Ø450/L29.22/D 0.25/D 0.45,"01",N,,,"1988","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1988"
25-40318,T,SN,SLT,,SB020,"377051995",SB25,"13",,,"999","999","999",2011/12/30,"0","0",0.00,0.00,"1",0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"999",,,,,,,,,,,,"99",N,,,"2011","1900","0",,,0.00,"0","99","01",,N,,"999",,"2011"
