idn,dl_sm_cde,dn_sm_cde,dn_cm_cde,pie_no,ty_jl_cde,inx_no,me_og_cde,buse_cde,sat_mhe,end_mhe,en_mt_cde,mop_cde,re_om_cde,lay_ymd,lg_yo_cde,om_pe_dtr,hol_std,vel_std,pe_rw_num,lenx,spt_hsl,ept_hsl,st_pip_hit,et_pip_hit,spt_dep,ept_dep,are_dep,st_rt_rto,hh_fy_cde,chk_yno,mr_dl_cde,dr_en_yno,st_st_yno,dtr_cce,pe_nr_cce,dr_lx_cce,dr_lp_cce,yr_dx_cce,pw_hp_cce,dp_pe_cce,da_st_cde,nw_da_yno,ifw_riv,rmk,ue_st_year,cn_pl_year,cn_spot,rp_mt_cde,dg_gn_cde,cn_area,cn_cs_cde,sy_gn_cde,dv_gn_cde,mr_pl_cde,sv_yn_cde,gh_fc_chk,in_pi_cde,cn_nam,year
25-04688,T,SN,SN,0049-601,SB007,"377052346",SB25,"13",0049-601-1,0049-660-1,"001","012","001",1984/12/31,"0","600",0.00,0.00,"1",29.000,14.36,14.46,13.21,13.12,0.55,0.74,0.65,3.10,"999",,B,,,Ø600,0049-601/Ø600,Ø600/L29,Ø600/L29/D0.55/D0.74,1984/Ø600/L29,1984/HP/Ø600/L29.00/D13.21/D13.12/S3.10,1984/HP/Ø600/L29.00/D0.55/D0.74,"53",N,,,"1984","1900","0","001","001",0.00,"0","04","01",B,Y,,"999",,"1984"
25-35385,T,SN,SLT,0092-700,SB010,"377051965",SB25,"13",0092-700-1,0092-800-1,"002","004","001",2010/01/01,"0","300",0.00,0.00,"1",62.769,21.13,20.72,19.63,18.61,1.20,1.81,1.51,16.25,"999",,,,,Ø300,0092-700/Ø300,Ø300/L62.769,Ø300/L62.769/D1.20/D1.81,2010/Ø300/L62.769,2010/PVC/Ø300/L62.77/D0/D18.61/S-296.48,2010/PVC/Ø300/L62.77/D0/D1.81,"62",N,,,"2010","1900","0",,,0.00,"0","02","02",,N,,"999",강일1지구 하수관거,"2010"
25-10297,T,SN,KDT,0024-100,SB007,"377052319",SB25,"12",0024-100-1,0024-200-1,"001","012","001",2001/10/24,"0","1100",0.00,0.00,"1",29.800,20.46,19.65,17.91,17.33,1.40,1.17,1.29,19.46,"999",,C,,,Ø1100,0024-100/Ø1100,Ø1100/L29.8,Ø1100/L29.8/D1.40/D1.17,2001/Ø1100/L29.8,2001/HP/Ø1100/L29.80/D17.91/D17.33/S19.46,2001/HP/Ø1100/L29.80/D 1.40/D 1.17,"40",N,,,"2001","1900","0",,,0.00,"0","05","01",C,Y,,"999",천호동 123~21간 도로확장공사,"2001"
25-08000,T,SN,ML,0038-103,SB007,"377051800",SB25,"12",0038-103-01,0038-104-1,"001","012","001",1900/01/01,"0","600",0.00,0.00,"1",18.810,36.70,36.85,35.27,35.25,0.78,0.95,0.87,1.06,"999",,C,,,Ø600,0038-103/Ø600,Ø600/L18.81,Ø600/L18.81/D0.78/D0.95,1900/Ø600/L18.81,1900/HP/Ø600/L18.81/D35.27/D35.25/S1.06,1900/HP/Ø600/L18.81/D 0.78/D 0.95,"02",N,,,"1900","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1900"
25-09415,T,SN,GDG,0100-700,SB001,"377052349",SB25,"13",0100-700-00,0100-800-00,"001","030","024",1900/01/01,"0","0",1.50,1.50,"1",37.560,23.91,22.56,20.61,20.56,1.80,0.50,1.15,1.33,"999",N,C,N,N,□1.5X1.5,0100-700/□1.5X1.5,□1.5X1.5/L37.56,□1.5X1.5/L37.56/D1.80/D0.50,1900/□1.5X1.5/L37.56,1900/RCB/□1.5X1.5/L37.56/D20.61/D20.56/S1.33,1900/RCB/□1.5X1.5/L37.56/D1.80/D0.50,"41",N,,2013년정확도 관경불합치 및 관거연결불일치 지역,"1900","1900","0",,,0.00,"0","02","01",C,N,,"001",둔촌동역 ~ 중앙보훈병원 주변 사각형거 보수보강,"1900"
25-02918,T,SN,CH,0096-100,SB001,"377052307",SB25,"12",0096-100-00,0096-150-00,"001","030","024",1991/07/15,"0","0",1.50,1.10,"1",134.130,16.52,16.67,14.65,14.63,0.47,0.64,0.56,0.13,"999",,C,,,□1.5X1.1,0096-100/□1.5X1.1,□1.5X1.1/L134.13,□1.5X1.1/L134.13/D0.47/D0.64,1991/□1.5X1.1/L134.13,1991/RC_BOX/□1.5X1.1/L134.13/D14.65/D14.63/S0.13,1991/RC_BOX/□1.5X1.1/L134.13/D 0.47/D 0.64,"02",Y,,도형수정,"1991","2011","0",,,0.00,"1","03","01",C,N,,"999",천호배수분구 하수암거 보수보강공사(2차),"1991"
25-02173,T,SN,CH,0392-100,SB007,"377052306",SB25,"12",0392-100-1,0392-200-1,"001","012","001",2004/06/03,"0","600",0.00,0.00,"1",32.940,17.09,16.53,15.71,15.29,0.73,0.59,0.66,12.75,"999",,C,,,Ø600,0392-100/Ø600,Ø600/L32.94,Ø600/L32.94/D0.73/D0.59,2004/Ø600/L32.94,2004/HP/Ø600/L32.94/D15.71/D15.29/S12.75,2004/HP/Ø600/L32.94/D 0.73/D 0.59,"01",N,,,"2004","1900","0",,,0.00,"0","03","01",C,N,,"999",천호동 321주변 하수관 개량공사,"2004"
25-06546,T,SN,SLO,0958-200,SB007,"377052415",SB25,"12",0958-200-1,0958-300-1,"001","012","001",1987/01/01,"0","600",0.00,0.00,"1",33.800,25.52,24.98,24.37,23.85,0.50,0.48,0.49,15.38,"999",,C,,,Ø600,0958-200/Ø600,Ø600/L33.8,Ø600/L33.8/D0.50/D0.48,1987/Ø600/L33.8,1987/HP/Ø600/L33.80/D24.37/D23.85/S15.38,1987/HP/Ø600/L33.80/D 0.50/D 0.48,"01",N,,,"1987","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1987"
25-10842,T,SN,KDT,0194-600,SB007,"377052337",SB25,"12",0194-600-1,0194-700-1,"001","012","001",1980/12/30,"0","1000",0.00,0.00,"1",53.450,16.06,15.91,14.10,14.09,0.91,0.77,0.84,0.19,"999",,B,,,Ø1000,0194-600/Ø1000,Ø1000/L53.45,Ø1000/L53.45/D0.91/D0.77,1980/Ø1000/L53.45,1980/HP/Ø1000/L53.45/D14.10/D14.09/S0.19,1980/HP/Ø1000/L53.45/D 0.91/D 0.77,"01",N,,,"1980","1900","0",,,0.00,"0","03","01",B,N,,"999",,"1980"
25-07985,T,SN,ML,0005-100,SB007,"377051800",SB25,"12",0005-100-1,0005-200-1,"001","012","001",1996/01/01,"0","600",0.00,0.00,"1",58.810,40.13,39.03,38.84,37.88,0.64,0.50,0.57,16.32,"999",,C,,,Ø600,0005-100/Ø600,Ø600/L58.81,Ø600/L58.81/D0.64/D0.50,1996/Ø600/L58.81,1996/HP/Ø600/L58.81/D38.84/D37.88/S16.32,1996/HP/Ø600/L58.81/D 0.64/D 0.50,"01",N,,,"1996","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1996"
