Latitude,Longitude,지반침하사고발생신고,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20
37.5458335,127.1556601,1,서울특별시 강동구 명일동 명일동 216-9,2025.3.24,,기타,기타,18,20,20,거짓,2,1,37.5458335,127.1556601,사고원인 조사 후 복구예정,복구중,2025.4.30,2025.3.25,,
37.54792749,127.1328561,46,서울특별시 강동구 암사동 상암로 87-1(암사동 490-48),2022.12.31,2023.1.2,하수관 손상,,0.4,0.4,0.5,거짓,1,0,37.54792749,127.1328561,강동구 치수과 하수기동반 현장 안전 조치 완료,임시복구,2023.1.2,2023.1.2,,
37.54212274,127.1204641,55,서울특별시 강동구 천호동 467-8,2022.7.10,2022.7.13,하수관 손상,,1.2,1.3,1.5,거짓,0,0,37.54212274,127.1204641,가정하수관 파손 복구 및 정비완료(치수과),복구완료,2022.7.10,2022.7.13,,
37.55462164,127.1293532,71,서울특별시 강동구 암사동 527,2021.7.4,,하수관 손상,,1.1,0.6,1.5,거짓,0,1,37.55462164,127.1293532,하수관(900mm) 맨홀 접합부 임시복구 완료,복구완료,2021.7.4,2021.8.11,,
